Athlete	Country
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
14	1
15	1
16	1
17	1
20	2
21	2
22	2
23	2
25	2
28	2
29	2
30	2
31	2
33	2
34	2
35	2
36	2
37	2
39	2
41	2
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
60	2
61	2
62	2
63	2
64	2
65	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
81	2
82	2
83	2
85	2
87	2
89	2
90	2
91	2
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	2
100	2
102	2
103	2
104	2
106	2
107	2
108	2
110	2
111	2
112	2
113	2
114	2
115	2
116	2
118	2
119	2
121	2
123	2
124	2
125	2
127	2
128	2
129	2
130	3
132	3
133	3
134	3
135	3
136	3
137	3
138	3
139	3
140	3
142	3
143	3
144	3
145	3
147	3
148	3
149	3
150	3
151	3
152	3
153	3
155	3
156	3
157	3
158	3
159	3
160	3
161	3
162	3
163	3
164	3
165	3
166	3
167	3
168	3
170	3
171	3
172	3
173	3
175	3
176	3
177	3
178	3
179	3
180	3
181	3
182	3
183	3
184	3
186	3
188	3
189	3
190	3
191	3
192	3
193	3
194	3
195	3
196	3
197	3
199	3
200	3
201	3
202	3
203	3
205	3
207	3
208	3
209	3
211	3
213	3
214	3
215	3
216	3
218	3
219	3
220	3
221	3
222	3
223	3
224	3
226	3
228	4
231	4
234	4
235	4
237	4
238	4
239	4
240	4
241	4
242	4
243	4
244	4
245	4
246	4
248	4
249	4
250	4
251	4
252	4
253	4
254	4
255	4
256	4
258	4
259	4
260	4
261	4
262	4
263	4
264	4
265	4
266	4
267	4
268	4
269	4
270	4
271	4
272	4
273	4
274	4
275	4
277	4
278	4
279	4
280	4
282	4
283	4
285	4
286	4
287	4
288	4
289	4
290	4
291	4
292	4
293	4
296	4
298	4
299	4
300	4
301	4
302	4
303	4
304	4
305	4
306	4
307	5
308	5
309	5
310	5
311	5
312	5
313	5
314	5
315	5
316	5
317	5
318	5
319	5
320	5
321	5
322	5
323	5
324	5
325	5
327	5
328	5
329	5
330	5
331	5
332	5
333	5
334	5
335	5
336	5
337	5
338	5
339	5
340	6
341	6
342	6
343	6
344	6
346	6
347	6
348	6
349	6
350	6
351	6
352	6
353	6
354	6
356	6
357	6
358	6
359	6
360	6
361	6
362	6
363	6
364	6
365	6
366	6
367	6
368	6
369	6
372	6
373	6
374	6
375	6
376	6
377	6
378	6
380	6
382	6
383	6
384	6
386	6
387	6
388	6
389	6
391	6
392	6
393	6
394	6
395	6
396	6
397	6
398	6
399	6
400	6
402	7
403	7
404	7
405	7
406	7
408	7
409	7
410	7
411	7
412	7
413	7
414	7
415	7
416	7
417	7
418	7
419	7
420	7
421	7
422	7
423	7
426	7
427	7
428	7
429	7
430	7
431	7
432	7
433	7
434	7
435	7
436	7
437	7
439	7
440	7
441	7
442	7
443	7
444	7
445	7
446	7
447	7
448	7
449	7
450	7
451	7
453	7
454	7
455	7
456	7
457	7
458	7
459	7
460	7
461	7
462	7
464	7
465	7
466	7
468	7
469	7
470	7
471	7
472	7
473	7
474	7
475	7
476	7
477	7
478	7
479	7
480	7
481	7
482	7
483	7
484	7
486	7
487	7
488	7
489	7
490	7
491	7
492	7
493	7
494	7
495	7
496	7
497	7
498	7
499	7
501	7
503	7
505	7
506	7
507	7
508	7
509	7
510	7
511	7
512	7
513	7
515	7
516	7
518	7
519	7
520	7
521	7
522	7
523	7
524	7
526	7
527	7
528	7
529	7
530	7
531	7
532	7
533	7
534	7
535	7
536	7
537	7
538	7
539	7
540	7
541	7
542	8
543	8
544	8
545	8
546	8
547	8
548	8
549	8
550	8
551	8
552	8
553	8
554	8
555	8
556	8
557	8
559	8
560	8
561	8
562	8
563	8
564	8
565	8
566	8
567	8
568	8
569	8
570	8
571	8
572	8
574	8
575	8
576	8
577	8
578	8
579	8
580	8
581	8
582	9
583	9
584	9
586	9
587	9
588	9
589	9
590	9
591	9
592	9
593	9
594	9
595	9
596	9
597	9
598	9
599	9
600	9
601	9
602	9
603	9
604	9
605	9
606	9
607	9
608	9
609	9
610	9
611	9
612	9
613	9
616	9
617	9
620	9
621	9
622	9
623	10
624	10
625	10
626	10
627	10
628	10
629	10
630	10
631	10
632	10
633	10
634	10
635	10
637	10
638	10
639	10
640	10
641	10
643	10
644	10
645	10
646	10
647	10
648	10
649	10
650	10
651	10
652	10
653	10
654	10
655	10
656	10
657	10
658	10
659	10
660	10
661	10
662	10
663	10
664	10
666	10
667	10
668	10
669	10
670	10
671	10
672	10
673	10
674	10
675	10
676	10
677	10
678	10
680	11
681	12
682	12
684	12
685	12
686	12
687	12
688	12
690	12
