Family	Gender	Date
1038	Male	1990-05-17 00:00:00
1008	Female	1990-05-19 00:00:00
1025	Male	1991-04-10 00:00:00
1011	Male	1991-05-01 00:00:00
1009	Female	1991-06-18 00:00:00
1013	Female	1992-01-05 00:00:00
1005	Male	1993-04-27 00:00:00
1021	Female	1993-07-03 00:00:00
1037	Male	1993-07-06 00:00:00
1032	Female	1994-02-02 00:00:00
1003	Female	1995-01-20 00:00:00
1034	Female	1995-01-27 00:00:00
1022	Female	1995-07-17 00:00:00
1020	Female	1995-10-16 00:00:00
1033	Male	1996-10-01 00:00:00
1001	Male	1996-12-11 00:00:00
1017	Male	1997-09-14 00:00:00
1008	Male	1997-10-11 00:00:00
1032	Male	1998-03-11 00:00:00
1002	Female	1998-03-14 00:00:00
1035	Female	1999-03-17 00:00:00
1023	Male	1999-04-12 00:00:00
1031	Female	1999-09-01 00:00:00
1004	Female	1999-09-23 00:00:00
1006	Female	1999-12-29 00:00:00
1036	Male	2000-10-02 00:00:00
1028	Female	2001-03-08 00:00:00
1015	Male	2001-07-01 00:00:00
1040	Female	2003-01-07 00:00:00
1012	Female	2003-03-23 00:00:00
1007	Female	2003-05-12 00:00:00
1019	Male	2003-06-27 00:00:00
1024	Female	2003-08-08 00:00:00
1027	Female	2003-09-07 00:00:00
1008	Female	2003-09-17 00:00:00
1039	Male	2004-03-09 00:00:00
1026	Male	2004-07-28 00:00:00
1012	Male	2005-12-28 00:00:00
1029	Male	2006-06-20 00:00:00
1027	Female	2006-07-29 00:00:00
1016	Female	2006-10-10 00:00:00
1014	Female	2006-11-03 00:00:00
1030	Male	2007-02-23 00:00:00
1023	Female	2007-03-05 00:00:00
1018	Male	2007-05-29 00:00:00
1010	Female	2008-02-15 00:00:00
1039	Female	2008-04-09 00:00:00
