ID	Name	City	State	Country	SalesGoal
ALFKI	Alfreds Futterkiste	Shenyang	Liaoning	China	3
ANATR	Ana Trujillo Emparedados y helados	Dalian	Liaoning	China	1
ANTON	Antonio Moreno Taquer¨ªa	Yingkou	Liaoning	China	10
AROUT	Around the Horn	benxi	Liaoning	China	6
BERGS	Berglunds snabbk?p	Shijiazhuang	Hebei	China	5
BLAUS	Blauer See Delikatessen	Langfang	Hebei	China	8
BLONP	Blondesddsl p¨¨re et fils	tangshan	Hebei	China	5
BOLID	B¨®lido Comidas preparadas	jinan	Shandong	China	8
BONAP	Bon app'	qingdao	Shandong	China	9
BOTTM	Bottom-Dollar Markets	dongying	Shandong	China	10
BSBEV	B's Beverages	Ankleiqi	Alaska	USA	5
CACTU	Cactus Comidas para llevar	Fermi	Alaska	USA	7
CENTC	Centro comercial Moctezuma	Los Angeles	California	USA	9
CHOPS	Chop-suey Chinese	Hollywood	California	USA	9
COMMI	Com¨¦rcio Mineiro	shenyang	Liaoning	China	7
CONSH	Consolidated Holdings	dalian	Liaoning	China	1
DRACD	Drachenblut Delikatessen	yingkou	Liaoning	China	3
DUMON	Du monde entier	benxi	Liaoning	China	3
EASTC	Eastern Connection	Shijiazhuang	Hebei	China	8
ERNSH	Ernst Handel	Langfang	Hebei	China	10
FAMIA	Familia Arquibaldo	Tangshan	Hebei	China	3
FISSA	FISSA Fabrica Inter. Salchichas S.A.	jinan	Shandong	China	8
FOLIG	Folies gourmandes	qingdao	Shandong	China	1
FOLKO	Folk och f? HB	dongying	Shandong	China	11
FRANK	Frankenversand	Ankleiqi	Alaska	USA	3
FRANR	France restauration	Fermi	Alaska	USA	1
FRANS	Franchi S.p.A.	Los Angeles	California	USA	3
FURIB	Furia Bacalhau e Frutos do Mar	Hollywood	California	USA	9
GALED	Galer¨ªa del gastr¨®nomo	shenyang	Liaoning	China	4
GODOS	Godos Cocina T¨ªpica	dalian	Liaoning	China	9
GOURL	Gourmet Lanchonetes	yingkou	Liaoning	China	11
GREAL	Great Lakes Food Market	benxi	Liaoning	China	2
GROSR	GROSELLA-Restaurante	Shijiazhuang	Hebei	China	9
HANAR	Hanari Carnes	Langfang	Hebei	China	3
HILAA	HILARION-Abastos	tangshan	Hebei	China	6
HUNGC	Hungry Coyote Import Store	jinan	Shandong	China	5
HUNGO	Hungry Owl All-Night Grocers	qingdao	Shandong	China	6
ISLAT	Island Trading	dongying	Shandong	China	1
KOENE	K?niglich Essen	Ankleiqi	Alaska	USA	3
LACOR	La corne d'abondance	Fermi	Alaska	USA	7
LAMAI	La maison d'Asie	Los Angeles	California	USA	9
LAUGB	Laughing Bacchus Wine Cellars	Hollywood	California	USA	11
LAZYK	Lazy K Kountry Store	shenyang	Liaoning	China	2
LEHMS	Lehmanns Marktstand	dalian	Liaoning	China	3
LETSS	Let's Stop N Shop	yingkou	Liaoning	China	2
LILAS	LILA-Supermercado	benxi	Liaoning	China	4
LINOD	LINO-Delicateses	Shijiazhuang	Hebei	China	5
LONEP	Lonesome Pine Restaurant	Langfang	Hebei	China	1
MAGAA	Magazzini Alimentari Riuniti	tangshan	Hebei	China	1
MAISD	Maison Dewey	jinan	Shandong	China	1
MEREP	M¨¨re Paillarde	qingdao	Shandong	China	7
MORGK	Morgenstern Gesundkost	dongying	Shandong	China	7
NORTS	North/South	Ankleiqi	Alaska	USA	4
OCEAN	Oc¨¦ano Atl¨¢ntico Ltda.	Fermi	Alaska	USA	8
OLDWO	Old World Delicatessen	Los Angeles	California	USA	7
OTTIK	Ottilies K?seladen	Hollywood	California	USA	9
