ID	Name	Category	Price
20001	----	Food	63
20002	----	Drink	87
20003	----	Drink	26
20004	----	Fresh	88
20005	----	Electrical equipment	57
20006	----	Food	62
20007	----	Electrical equipment	63
20008	----	Fresh	18
20009	----	Food	90
20010	----	Vegetables	55
20011	----	Electrical equipment	75
20012	----	Vegetables	20
20013	----	Drink	26
20014	----	Accouterments	18
20015	----	Food	65
20016	----	Vegetables	121
20017	----	Food	75
20018	----	Vegetables	9
20019	----	Fresh	8
20020	----	Prepared Food	46
20021	----	Vegetables	80
20022	----	Prepared Food	71
20023	----	Accouterments	420
20024	----	Chemical	51
20025	----	Fresh	37
20026	----	Drink	47
20027	----	Articles of everyday use	57
20028	----	Vegetables	93
20029	----	Chemical	7
20030	----	Articles of everyday use	47
20031	----	Vegetables	775
20032	----	Chemical	38
20033	----	Electrical equipment	50
20034	----	Vegetables	85
20035	----	Vegetables	94
20036	----	Vegetables	8
20037	----	Articles of everyday use	11
20038	----	Drink	102
20039	----	Chemical	50
20040	----	Prepared Food	79
20041	----	Electrical equipment	90
20042	----	Food	95
20043	----	Drink	83
20044	----	Electrical equipment	18
20045	----	Accouterments	73
20046	----	Articles of everyday use	51
20047	----	Prepared Food	83
20048	----	Articles of everyday use	18
20049	----	Chemical	71
20050	----	Vegetables	45
20051	----	Food	44
20052	----	Prepared Food	86
20053	----	Articles of everyday use	21
20054	----	Vegetables	38
20055	----	Fresh	70
20056	----	Accouterments	71
20057	----	Accouterments	736
20058	----	Fresh	84
20059	----	Fresh	21
20060	----	Drink	84
20061	----	Vegetables	15
20062	----	Electrical equipment	5
20063	----	Vegetables	97
20064	----	Accouterments	83
20065	----	Drink	74
20066	----	Electrical equipment	61
20067	----	Prepared Food	91
20068	----	Fresh	96
20069	----	Vegetables	855
20070	----	Articles of everyday use	82
20071	----	Chemical	90
20072	----	Accouterments	59
20073	----	Food	26
20074	----	Food	88
20075	----	Electrical equipment	39
20076	----	Drink	39
20077	----	Drink	67
20078	----	Fresh	67
20079	----	Fresh	48
20080	----	Chemical	39
20081	----	Chemical	45
20082	----	Drink	68
20083	----	Chemical	95
20084	----	Articles of everyday use	79
20085	----	Chemical	14
20086	----	Drink	93
20087	----	Fresh	50
20088	----	Vegetables	33
20089	----	Drink	7
20090	----	Accouterments	61
20091	----	Chemical	211
20092	----	Prepared Food	60
20093	----	Articles of everyday use	8
20094	----	Fresh	48
20095	----	Food	51
20096	----	Vegetables	29
20097	----	Prepared Food	61
20098	----	Prepared Food	61
20099	----	Vegetables	615
20100	----	Accouterments	76
