ContractNo	ActualSale	SellDate	Product	Quantity	Amount	Client	ApplyArea	ApplyMethod
10961	8	1997-03-19 00:00:00	52	6	1122.0	QUEEN	EastChina	SELF_USE
10962	8	1997-03-19 00:00:00	7	45	3584.0	QUICK	SouthChina	SELF_USE
10963	9	1997-03-19 00:00:00	60	2	68.0	FURIB	NorthChina	RESELL
10964	3	1997-03-20 00:00:00	18	6	2052.5	SPECD	SouthChina	RESELL
10965	6	1997-03-20 00:00:00	51	16	848.0	OLDWO	EastChina	SELF_USE
10966	4	1997-03-20 00:00:00	37	8	1255.6	CHOPS	SouthChina	SELF_USE
10967	2	1997-03-23 00:00:00	19	12	910.4	TOMSP	EastChina	RESELL
10968	1	1997-03-23 00:00:00	12	30	1408.0	ERNSH	SouthChina	SELF_USE
10969	1	1997-03-23 00:00:00	46	9	108.0	COMMI	NorthChina	RESELL
10970	9	1997-03-24 00:00:00	52	40	280.0	BOLID	Northeast	SELF_USE
10971	2	1997-03-24 00:00:00	29	14	1733.06	FRANR	EastChina	RESELL
10972	4	1997-03-24 00:00:00	17	6	251.5	LACOR	EastChina	SELF_USE
10973	6	1997-03-24 00:00:00	26	5	291.55	LACOR	EastChina	RESELL
10974	3	1997-03-25 00:00:00	63	10	439.0	SPLIR	NorthChina	SELF_USE
10975	1	1997-03-25 00:00:00	8	16	717.5	BOTTM	SouthChina	SELF_USE
10976	1	1997-03-25 00:00:00	28	20	912.0	HILAA	EastChina	SELF_USE
10977	8	1997-03-26 00:00:00	39	30	2233.0	FOLKO	EastChina	SELF_USE
10978	9	1997-03-26 00:00:00	8	20	1500.7	MAISD	NorthChina	RESELL
10979	8	1997-03-26 00:00:00	7	18	4813.5	ERNSH	EastChina	RESELL
10980	4	1997-03-27 00:00:00	75	40	310.0	FOLKO	EastChina	RESELL
10981	1	1997-03-27 00:00:00	38	60	15810.0	HANAR	EastChina	RESELL
10982	2	1997-03-27 00:00:00	7	20	1014.0	BOTTM	EastChina	RESELL
10983	2	1997-03-27 00:00:00	13	84	796.5	SAVEA	SouthChina	SELF_USE
10984	1	1997-03-30 00:00:00	16	55	1809.75	SAVEA	NorthChina	RESELL
10985	2	1997-03-30 00:00:00	16	36	2248.2	HUNGO	EastChina	SELF_USE
10986	8	1997-03-30 00:00:00	11	30	2220.0	OCEAN	EastChina	RESELL
10987	8	1997-03-31 00:00:00	7	60	2772.0	EASTC	NorthChina	RESELL
10988	3	1997-03-31 00:00:00	7	60	3772.0	RATTC	EastChina	RESELL
10989	2	1997-03-31 00:00:00	6	40	1353.6	QUEDE	Southwest	RESELL
10990	2	1997-04-01 00:00:00	21	65	4931.0	ERNSH	Southwest	SELF_USE
10991	1	1997-04-01 00:00:00	2	50	2870.0	QUICK	EastChina	RESELL
10992	1	1997-04-01 00:00:00	72	2	69.6	THEBI	EastChina	SELF_USE
10993	7	1997-04-01 00:00:00	29	50	6527.25	FOLKO	SouthChina	RESELL
10994	2	1997-04-02 00:00:00	59	18	990.0	VAFFE	SouthChina	RESELL
10995	1	1997-04-02 00:00:00	51	20	1196.0	PERIC	EastChina	SELF_USE
10996	4	1997-04-02 00:00:00	42	40	560.0	QUICK	SouthChina	SELF_USE
10997	8	1997-04-03 00:00:00	32	50	1980.0	LILAS	Southwest	SELF_USE
10998	8	1997-04-03 00:00:00	24	12	686.0	WOLZA	NorthChina	RESELL
10999	6	1997-04-03 00:00:00	41	20	1261.0	OTTIK	EastChina	SELF_USE
11000	2	1997-04-06 00:00:00	4	25	1075.0	RATTC	EastChina	RESELL
11001	2	1997-04-06 00:00:00	7	60	2769.0	FOLKO	SouthChina	SELF_USE
11002	4	1997-04-06 00:00:00	13	56	1902.0	SAVEA	SouthChina	RESELL
11003	3	1997-04-06 00:00:00	1	4	326.0	THECR	EastChina	RESELL
11004	3	1997-04-07 00:00:00	26	6	295.38	MAISD	EastChina	RESELL
11005	2	1997-04-07 00:00:00	1	2	586.0	WILMK	EastChina	RESELL
11006	3	1997-04-07 00:00:00	1	8	391.58	GREAL	EastChina	SELF_USE
11007	8	1997-04-08 00:00:00	8	30	2633.9	PRINI	SouthChina	SELF_USE
11008	7	1997-04-08 00:00:00	28	70	4903.5	ERNSH	NorthChina	SELF_USE
11009	2	1997-04-08 00:00:00	24	12	702.0	GODOS	EastChina	SELF_USE
11010	2	1997-04-09 00:00:00	7	20	645.0	REGGC	EastChina	RESELL
11011	3	1997-04-09 00:00:00	58	40	960.0	BONAP	NorthChina	RESELL
11012	1	1997-04-09 00:00:00	19	50	2974.0	FRANK	EastChina	SELF_USE
11013	2	1997-04-09 00:00:00	23	10	361.0	ROMEY	SouthChina	SELF_USE
11014	2	1997-04-10 00:00:00	41	28	270.2	LINOD	NorthChina	SELF_USE
11015	2	1997-04-10 00:00:00	30	15	622.35	SANTG	EastChina	RESELL
11016	9	1997-04-10 00:00:00	31	15	491.5	BONAP	NorthChina	RESELL
11017	9	1997-04-13 00:00:00	3	25	6750.0	ERNSH	Northwest	SELF_USE
11018	4	1997-04-13 00:00:00	12	20	1575.0	LONEP	NorthChina	RESELL
11019	6	1997-04-13 00:00:00	46	3	76.0	RANCH	Southwest	RESELL
11020	2	1997-04-14 00:00:00	10	24	744.0	OTTIK	Southwest	RESELL
11021	3	1997-04-14 00:00:00	2	11	6941.49	QUICK	SouthChina	SELF_USE
10248	5	1996-07-04 00:00:00	17	12	440.0	VINET	EastChina	RESELL
10249	6	1996-07-05 00:00:00	14	9	1863.4	TOMSP	NorthChina	RESELL
10250	4	1996-07-08 00:00:00	41	10	1813.0	HANAR	EastChina	SELF_USE
10251	3	1996-07-08 00:00:00	22	6	670.8	VICTE	NorthChina	SELF_USE
10252	4	1996-07-09 00:00:00	20	40	3730.0	SUPRD	Northeast	RESELL
10253	3	1996-07-10 00:00:00	31	20	1444.8	HANAR	EastChina	SELF_USE
10254	5	1996-07-11 00:00:00	24	15	625.2	CHOPS	CentralChina	SELF_USE
10255	9	1996-07-12 00:00:00	2	20	2490.5	RICSU	EastChina	SELF_USE
10256	3	1996-07-15 00:00:00	53	15	517.8	WELLI	NorthChina	RESELL
10257	4	1996-07-16 00:00:00	27	25	1119.9	HILAA	NorthChina	SELF_USE
10258	1	1996-07-17 00:00:00	2	50	2018.6	ERNSH	NorthChina	SELF_USE
10259	4	1996-07-18 00:00:00	21	10	100.8	CENTC	NorthChina	SELF_USE
