Employee	Date	Type
1	2006-07-30 00:00:00	Onboarding
1	2008-06-08 00:00:00	Quit
2	2004-05-09 00:00:00	Onboarding
3	1998-06-29 00:00:00	Onboarding
4	2001-02-18 00:00:00	Onboarding
5	1995-06-02 00:00:00	Onboarding
6	2008-01-04 00:00:00	Onboarding
7	2000-06-13 00:00:00	Onboarding
8	1997-04-14 00:00:00	Onboarding
8	2009-05-26 00:00:00	Quit
9	2004-06-12 00:00:00	Onboarding
10	2009-08-11 00:00:00	Onboarding
11	1997-09-10 00:00:00	Onboarding
11	1999-12-22 00:00:00	Quit
12	1996-10-28 00:00:00	Onboarding
12	2002-05-04 00:00:00	Quit
12	2005-05-06 00:00:00	Onboarding
12	2006-09-30 00:00:00	Quit
13	1996-01-18 00:00:00	Onboarding
13	2001-03-01 00:00:00	Quit
14	2005-06-14 00:00:00	Onboarding
15	1997-04-20 00:00:00	Onboarding
16	1996-09-28 00:00:00	Onboarding
16	1998-02-18 00:00:00	Quit
16	2003-05-21 00:00:00	Onboarding
16	2007-06-09 00:00:00	Quit
17	1997-09-21 00:00:00	Onboarding
17	1999-08-21 00:00:00	Quit
18	1997-05-26 00:00:00	Onboarding
19	1995-01-22 00:00:00	Onboarding
20	2008-04-02 00:00:00	Onboarding
21	1995-07-16 00:00:00	Onboarding
21	2004-07-29 00:00:00	Quit
22	2007-06-17 00:00:00	Onboarding
22	2009-02-03 00:00:00	Quit
23	1998-03-03 00:00:00	Onboarding
23	2002-01-13 00:00:00	Quit
