StadiumID	MatchDate	Gold	Silver	Bronze
10	2000-02-01 00:00:00	1	5	16
6	2000-05-26 00:00:00	6	11	18
4	2000-07-14 00:00:00	7	10	20
2	2000-07-26 00:00:00	1	19	3
5	2000-10-01 00:00:00	14	7	4
2	2000-11-07 00:00:00	4	5	17
1	2001-02-17 00:00:00	13	15	16
4	2001-03-02 00:00:00	6	13	18
10	2001-04-14 00:00:00	3	14	6
1	2001-04-16 00:00:00	7	17	18
8	2001-06-26 00:00:00	19	7	5
5	2001-07-10 00:00:00	12	4	19
10	2001-07-12 00:00:00	13	3	19
9	2001-08-04 00:00:00	2	9	15
6	2001-10-05 00:00:00	1	13	7
4	2001-10-29 00:00:00	19	9	2
3	2001-11-03 00:00:00	17	13	15
1	2001-11-08 00:00:00	4	14	6
3	2002-02-20 00:00:00	8	14	6
5	2002-04-29 00:00:00	4	1	14
2	2002-06-17 00:00:00	9	15	5
10	2002-08-19 00:00:00	11	12	4
2	2002-08-28 00:00:00	9	15	16
7	2002-11-19 00:00:00	7	9	20
8	2003-05-09 00:00:00	8	13	3
6	2003-05-17 00:00:00	17	12	15
4	2003-06-21 00:00:00	13	14	20
9	2003-07-13 00:00:00	5	14	19
4	2003-07-31 00:00:00	2	12	10
3	2003-10-14 00:00:00	8	20	19
7	2003-11-10 00:00:00	15	4	12
3	2003-12-24 00:00:00	2	3	17
4	2004-01-12 00:00:00	8	5	9
1	2004-07-03 00:00:00	7	10	3
3	2004-08-25 00:00:00	10	1	5
9	2004-09-07 00:00:00	18	7	9
8	2004-09-08 00:00:00	6	20	11
1	2004-09-27 00:00:00	10	11	3
6	2004-10-12 00:00:00	12	2	16
7	2004-12-04 00:00:00	2	11	17
5	2005-01-11 00:00:00	4	6	3
4	2005-01-20 00:00:00	12	20	10
9	2005-01-23 00:00:00	3	15	6
5	2005-02-08 00:00:00	4	7	16
7	2005-02-14 00:00:00	5	15	20
6	2005-03-16 00:00:00	11	10	2
2	2005-03-26 00:00:00	1	5	6
6	2005-06-16 00:00:00	3	7	2
7	2005-08-21 00:00:00	11	15	6
2	2005-10-15 00:00:00	5	6	8
