Event	Ranking	Athlete
1	1	516
1	2	748
1	3	10
1	4	928
1	5	913
1	6	431
1	7	266
1	8	139
1	9	2
1	10	181
1	11	290
1	12	302
1	13	430
1	14	116
1	15	1012
1	16	192
1	17	966
1	18	647
1	19	53
1	20	842
1	21	33
1	22	453
1	23	799
1	24	223
2	1	997
2	2	646
2	3	1013
2	4	1014
2	5	374
2	6	969
2	7	522
2	8	391
2	9	1011
2	10	667
2	11	422
2	12	316
2	13	140
2	14	652
2	15	740
2	16	970
2	17	622
2	18	47
2	19	830
2	20	835
2	21	343
2	22	451
2	23	608
2	24	309
2	25	818
2	26	658
2	27	346
2	28	747
2	29	172
2	30	209
3	1	713
3	2	909
3	3	457
3	4	280
3	5	495
3	6	144
3	7	794
3	8	493
3	9	695
3	10	795
3	11	251
3	12	982
3	13	306
3	14	288
3	15	347
3	16	1019
3	17	325
3	18	43
3	19	808
3	20	577
3	21	411
3	22	177
3	23	127
3	24	440
3	25	990
3	26	30
3	27	271
4	1	275
4	2	144
4	3	932
4	4	704
4	5	3
4	6	850
4	7	945
4	8	810
4	9	182
4	10	680
4	11	902
4	12	894
5	1	884
5	2	312
5	3	29
5	4	568
5	5	130
5	6	793
5	7	532
5	8	470
5	9	377
5	10	917
5	11	817
5	12	559
5	13	171
5	14	491
5	15	805
5	16	904
5	17	759
5	18	586
5	19	755
5	20	220
5	21	623
5	22	796
5	23	969
5	24	548
5	25	300
5	26	633
5	27	995
5	28	923
5	29	441
6	1	830
6	2	92
6	3	62
6	4	76
6	5	361
6	6	8
6	7	311
6	8	576
6	9	737
6	10	317
6	11	738
6	12	156
6	13	523
6	14	37
6	15	125
7	1	226
7	2	130
7	3	378
7	4	922
7	5	196
7	6	242
7	7	3
7	8	824
7	9	918
7	10	916
7	11	149
7	12	601
7	13	735
7	14	409
8	1	259
8	2	909
8	3	960
8	4	163
8	5	318
8	6	195
8	7	444
8	8	98
8	9	275
8	10	1017
8	11	971
8	12	363
8	13	128
8	14	663
8	15	993
8	16	162
8	17	669
8	18	871
8	19	312
9	1	346
9	2	50
9	3	509
9	4	916
9	5	469
9	6	899
9	7	433
9	8	673
9	9	256
9	10	54
9	11	597
9	12	827
9	13	975
9	14	1009
9	15	881
9	16	767
9	17	893
9	18	16
9	19	826
10	1	460
10	2	582
10	3	62
10	4	891
10	5	242
10	6	315
10	7	4
10	8	1013
10	9	637
10	10	303
10	11	248
11	1	535
11	2	549
11	3	115
11	4	830
11	5	685
11	6	265
11	7	544
11	8	852
11	9	33
11	10	158
11	11	923
11	12	596
11	13	361
11	14	402
11	15	905
11	16	907
11	17	622
12	1	506
12	2	802
12	3	410
12	4	842
12	5	461
12	6	76
12	7	601
12	8	149
12	9	159
12	10	25
12	11	867
12	12	590
12	13	239
12	14	60
12	15	203
12	16	876
12	17	662
12	18	274
12	19	660
12	20	261
12	21	255
12	22	959
12	23	891
13	1	647
13	2	953
13	3	107
13	4	296
13	5	250
13	6	595
13	7	270
13	8	927
13	9	492
13	10	774
13	11	178
13	12	31
13	13	272
13	14	876
13	15	847
13	16	664
13	17	396
13	18	69
13	19	677
13	20	549
13	21	75
13	22	597
13	23	552
14	1	587
14	2	10
14	3	763
14	4	551
14	5	960
14	6	291
14	7	653
14	8	850
14	9	957
14	10	368
14	11	349
14	12	136
14	13	674
14	14	87
14	15	980
14	16	1018
14	17	30
14	18	559
14	19	261
14	20	98
14	21	617
14	22	675
14	23	776
14	24	367
15	1	955
15	2	649
15	3	685
15	4	933
15	5	492
15	6	387
15	7	108
15	8	984
15	9	616
15	10	740
15	11	882
15	12	554
16	1	756
16	2	480
16	3	456
16	4	938
16	5	310
16	6	541
16	7	481
16	8	168
16	9	963
16	10	63
16	11	135
16	12	718
16	13	889
16	14	591
16	15	753
16	16	138
16	17	352
16	18	288
16	19	242
16	20	710
16	21	587
16	22	634
16	23	133
16	24	936
16	25	318
16	26	731
16	27	526
16	28	602
16	29	389
17	1	110
17	2	96
17	3	836
17	4	877
17	5	565
17	6	995
17	7	700
17	8	106
17	9	975
17	10	706
17	11	561
17	12	373
17	13	830
17	14	462
17	15	30
17	16	538
17	17	604
17	18	428
17	19	576
17	20	788
17	21	409
17	22	609
17	23	442
17	24	384
17	25	574
17	26	890
18	1	726
18	2	119
18	3	773
18	4	426
18	5	322
18	6	958
18	7	441
18	8	164
18	9	771
18	10	570
18	11	278
18	12	480
18	13	201
18	14	953
18	15	533
18	16	58
18	17	316
18	18	368
18	19	325
18	20	197
18	21	582
18	22	302
18	23	253
18	24	335
18	25	843
18	26	561
18	27	823
18	28	766
18	29	840
18	30	607
19	1	436
19	2	12
19	3	361
19	4	592
19	5	237
19	6	414
19	7	841
19	8	855
19	9	909
19	10	753
19	11	367
19	12	375
19	13	285
19	14	331
19	15	923
19	16	202
19	17	450
19	18	511
19	19	1000
19	20	457
20	1	629
20	2	245
20	3	871
20	4	883
20	5	329
20	6	330
20	7	161
20	8	312
20	9	729
20	10	981
20	11	231
20	12	658
21	1	743
21	2	583
21	3	85
21	4	991
21	5	914
21	6	827
21	7	31
21	8	760
21	9	332
21	10	889
21	11	190
21	12	645
21	13	341
21	14	772
21	15	569
21	16	934
21	17	511
21	18	808
21	19	601
21	20	149
21	21	374
21	22	43
21	23	39
21	24	1008
21	25	323
21	26	851
21	27	97
21	28	507
21	29	771
22	1	1013
22	2	341
22	3	713
22	4	179
22	5	566
22	6	305
22	7	643
22	8	915
22	9	48
22	10	598
22	11	15
22	12	44
22	13	527
22	14	767
22	15	996
22	16	632
22	17	830
22	18	933
22	19	319
22	20	417
22	21	153
23	1	329
23	2	516
23	3	544
23	4	969
23	5	289
23	6	456
23	7	898
23	8	728
23	9	965
23	10	976
23	11	313
23	12	911
23	13	466
23	14	632
23	15	597
23	16	931
23	17	301
23	18	972
23	19	620
23	20	430
23	21	749
23	22	60
23	23	902
24	1	648
24	2	633
24	3	416
24	4	581
24	5	520
24	6	413
24	7	515
24	8	61
24	9	330
24	10	135
24	11	742
24	12	571
24	13	594
24	14	879
