ID	Movie	Actor
1	Shawshank Redemption	Morgan Freeman
2	Pulp Fiction	John Travolta
3	Heat	Robert De Niro
4	Heat	Al Pacino
5	The Godfather	Al Pacino
6	Schindler's List	Liam Neeson
7	Saving Private Ryan	Matt Damon
8	Donnie Brasco	Jonney Deep
9	The Godfather	Marlon Brando
10	Pirates of the Caribbean	Jonney Deep
11	Shawshank Redemption	Tim Robbins
12	Donnie Brasco	Al Pacino
13	Usual Suspects	Gabriel Byrne
14	Usual Suspects	Kevin Spacey
15	Saving Private Ryan	Tom Hanks
16	Braveheart	Mel Gibson
17	American Beauty	Kevin Spacey
