order_id	item_id	item_qty
20000	1022	9
20001	1011	5
20002	1023	5
20003	1014	10
20004	1025	7
20005	1021	5
20006	1009	8
20007	1027	9
20008	1011	8
20009	1017	4
20010	1005	10
20011	1002	4
20012	1002	10
20013	1015	6
20014	1021	2
20015	1005	9
20016	1007	8
20017	1002	4
20018	1022	8
20019	1001	7
20020	1018	10
20021	1015	5
20022	1007	5
20023	1020	2
20024	1013	1
20025	1009	5
20026	1000	4
20027	1011	6
20028	1004	1
20029	1011	5
20030	1005	7
20031	1029	9
20032	1016	1
20033	1001	9
20034	1022	9
20035	1006	10
20036	1009	4
20037	1027	6
20038	1020	1
20039	1003	7
20040	1017	2
20041	1015	6
20042	1023	6
20043	1019	7
20044	1017	3
20045	1027	7
20046	1010	6
20047	1019	9
20048	1023	6
20049	1003	5
20050	1027	4
20051	1012	10
20052	1020	1
20053	1023	2
20054	1003	6
20055	1024	9
20056	1001	8
20057	1007	9
20058	1014	2
20059	1013	4
20060	1006	7
20061	1015	2
20062	1025	9
20063	1024	1
20064	1029	6
20065	1009	1
20066	1020	5
20067	1009	1
20068	1006	10
20069	1009	8
20070	1015	10
20071	1006	1
20072	1020	4
20073	1005	6
20074	1029	4
20075	1011	9
20076	1017	5
20077	1014	7
20078	1023	8
20079	1016	10
20080	1006	10
20081	1022	1
20082	1027	5
20083	1007	10
20084	1012	2
20085	1003	2
20086	1012	4
20087	1000	1
20088	1026	6
20089	1021	8
20090	1007	4
20091	1016	3
20092	1012	7
20093	1000	8
20094	1001	8
20095	1007	2
20096	1026	8
20097	1025	6
20098	1009	1
20099	1001	2
20100	1001	7
20101	1012	4
20102	1016	7
20103	1006	4
20104	1002	3
20105	1006	3
20106	1024	7
20107	1012	1
20108	1028	8
20109	1025	9
20110	1028	10
20111	1012	2
20112	1005	4
20113	1026	6
20114	1026	10
20115	1027	1
20116	1025	6
20117	1023	6
20118	1004	7
20119	1027	5
20120	1017	4
20121	1021	5
20122	1013	6
20123	1000	5
20124	1026	4
20125	1020	1
20126	1024	2
20127	1026	2
20128	1003	2
20129	1017	5
20130	1028	5
20131	1023	6
20132	1011	1
20133	1019	7
20134	1006	5
20135	1023	5
20136	1010	8
20137	1020	1
20138	1006	7
20139	1007	10
20140	1005	2
20141	1007	9
20142	1007	10
20143	1008	3
20144	1013	9
20145	1005	10
20146	1002	1
20147	1020	10
20148	1005	5
20149	1012	8
20150	1014	6
20151	1018	10
20152	1006	1
20153	1003	4
20154	1020	7
20155	1017	2
20156	1015	1
20157	1008	9
20158	1007	2
20159	1022	2
20160	1002	3
20161	1016	5
20162	1019	6
20163	1020	7
20164	1003	5
20165	1026	8
20166	1024	9
20167	1001	9
20168	1014	3
20169	1028	5
20170	1009	9
20171	1024	5
20172	1019	5
20173	1003	7
20174	1023	7
20175	1021	7
20176	1015	4
20177	1024	8
20178	1008	2
20179	1018	7
20180	1000	8
20181	1016	7
20182	1002	10
20183	1020	3
20184	1013	7
20185	1016	1
20186	1009	10
20187	1006	6
20188	1007	5
20189	1006	9
20190	1020	5
20191	1006	8
20192	1024	5
20193	1023	3
20194	1021	2
20195	1016	3
20196	1020	8
20197	1015	8
20198	1023	6
20199	1008	4
20200	1011	8
20201	1017	2
20202	1017	5
20203	1028	2
20204	1027	9
20205	1001	8
20206	1016	5
20207	1008	7
20208	1017	5
20209	1007	6
20210	1029	10
20211	1005	4
20212	1024	5
20213	1014	3
20214	1014	8
20215	1017	1
20216	1024	4
20217	1003	4
20218	1026	10
20219	1020	9
20220	1010	5
20221	1010	8
20222	1005	5
20223	1019	6
20224	1010	3
20225	1027	1
20226	1022	4
20227	1016	1
20228	1016	5
20229	1000	2
20230	1000	6
20231	1024	4
20232	1027	5
20233	1029	1
20234	1010	6
20235	1013	2
20236	1000	2
20237	1012	8
20238	1028	3
20239	1018	2
20240	1001	9
20241	1001	4
20242	1025	6
20243	1005	6
20244	1000	4
20245	1001	2
20246	1008	8
20247	1025	2
20248	1003	8
20249	1006	3
20250	1006	10
20251	1019	2
20252	1021	2
20253	1024	8
20254	1020	2
20255	1007	8
20256	1028	4
20257	1002	10
20258	1004	1
20259	1002	8
20260	1007	7
20261	1023	1
20262	1002	1
20263	1019	9
20264	1007	1
20265	1004	5
20266	1025	9
20267	1018	10
20268	1022	5
20269	1008	8
20270	1022	10
20271	1027	2
20272	1019	9
20273	1019	2
20274	1021	3
20275	1014	1
20276	1010	1
20277	1015	3
20278	1011	2
20279	1017	7
20280	1017	6
20281	1008	4
20282	1025	7
20283	1004	10
20284	1002	1
20285	1023	5
20286	1009	3
20287	1025	7
20288	1014	6
20289	1020	8
20290	1004	6
20291	1012	6
20292	1024	3
20293	1001	9
20294	1018	8
20295	1013	4
20296	1008	10
20297	1019	9
20298	1019	8
20299	1008	1
20300	1027	8
20301	1002	6
20302	1022	4
20303	1001	2
20304	1028	7
20305	1001	8
20306	1004	1
20307	1023	1
20308	1005	2
20309	1004	1
20310	1013	9
20311	1010	4
20312	1005	8
20313	1016	4
20314	1005	2
20315	1017	5
20316	1012	1
20317	1005	9
20318	1018	4
20319	1018	10
20320	1018	7
20321	1003	1
20322	1010	2
20323	1017	9
20324	1029	9
20325	1012	4
20326	1016	6
20327	1004	2
20328	1020	10
20329	1006	4
20330	1026	7
20331	1010	2
20332	1019	3
20333	1013	1
20334	1019	6
20335	1001	10
20336	1008	6
20337	1022	8
20338	1016	2
20339	1011	2
20340	1022	5
20341	1005	4
20342	1028	3
20343	1027	5
20344	1029	6
20345	1028	3
20346	1026	3
20347	1011	6
20348	1029	4
20349	1017	7
20350	1028	4
20351	1027	10
20352	1003	10
20353	1017	7
20354	1025	3
20355	1004	7
20356	1016	9
20357	1025	1
20358	1008	8
20359	1023	1
20360	1012	6
20361	1015	1
20362	1015	6
20363	1021	10
20364	1017	4
20365	1002	9
20366	1019	3
20367	1029	10
20368	1011	8
20369	1012	7
20370	1014	2
20371	1002	3
20372	1013	6
20373	1012	6
20374	1018	6
20375	1001	4
20376	1009	9
20377	1021	6
20378	1002	3
20379	1026	8
20380	1029	5
20381	1027	9
20382	1019	5
20383	1003	2
20384	1004	7
20385	1028	10
20386	1015	9
20387	1029	2
20388	1017	3
20389	1009	8
20390	1005	2
20391	1010	7
20392	1024	7
20393	1003	8
20394	1021	6
20395	1002	5
20396	1010	6
20397	1010	2
20398	1019	6
20399	1026	6
20400	1013	4
20401	1021	1
20402	1000	4
20403	1022	1
20404	1002	2
20405	1008	6
20406	1020	4
20407	1010	5
20408	1004	4
20409	1009	4
20410	1021	2
20411	1029	2
20412	1014	5
20413	1005	3
20414	1012	3
20415	1005	8
20416	1016	5
20417	1010	3
20418	1010	9
20419	1001	5
20420	1021	2
20421	1021	1
20422	1019	10
20423	1014	3
20424	1000	10
20425	1003	7
20426	1029	4
20427	1016	9
20428	1018	5
20429	1004	6
20430	1011	3
20431	1008	2
20432	1015	6
20433	1000	2
20434	1026	5
20435	1009	2
20436	1007	2
20437	1008	10
20438	1003	4
20439	1028	8
20440	1008	7
20441	1006	9
20442	1021	7
20443	1002	10
20444	1026	10
20445	1014	9
20446	1013	7
20447	1022	2
20448	1002	2
20449	1004	1
20450	1022	6
20451	1002	6
20452	1015	2
20453	1016	10
20454	1016	8
20455	1006	8
20456	1002	8
20457	1029	3
20458	1015	10
20459	1019	8
20460	1016	3
20461	1024	5
20462	1027	7
20463	1005	4
20464	1020	5
20465	1010	5
20466	1027	8
20467	1011	3
20468	1013	5
20469	1001	10
20470	1028	6
20471	1010	1
20472	1022	6
20473	1016	1
20474	1012	9
20475	1020	6
20476	1004	9
20477	1013	8
20478	1026	9
20479	1019	5
20480	1022	1
20481	1019	7
20482	1021	6
20483	1016	7
20484	1017	3
20485	1019	2
20486	1012	9
20487	1028	1
20488	1014	2
20489	1006	9
20490	1016	8
20491	1027	8
20492	1001	9
20493	1019	7
20494	1022	10
20495	1022	6
20496	1012	7
20497	1029	3
20498	1005	1
20499	1005	4
20500	1016	2
20501	1028	3
20502	1017	3
20503	1005	8
20504	1028	4
20505	1029	3
20506	1022	10
20507	1010	10
20508	1003	8
20509	1010	5
20510	1000	6
20511	1023	4
20512	1004	6
20513	1025	6
20514	1006	10
20515	1010	8
20516	1000	9
20517	1003	2
20518	1022	9
20519	1000	9
20520	1007	7
20521	1010	10
20522	1016	8
20523	1023	2
20524	1027	1
20525	1028	10
20526	1008	7
20527	1003	4
20528	1027	3
20529	1009	10
20530	1010	10
20531	1005	9
20532	1027	5
20533	1027	4
20534	1029	1
20535	1027	7
20536	1002	10
20537	1015	5
20538	1014	8
20539	1010	2
20540	1022	8
20541	1018	10
20542	1016	9
20543	1029	1
20544	1016	8
20545	1006	2
20546	1012	10
20547	1015	2
20548	1019	6
20549	1000	9
20550	1011	3
20551	1016	5
20552	1007	2
20553	1017	9
20554	1015	6
20555	1010	2
20556	1009	5
20557	1018	5
20558	1025	4
20559	1005	3
20560	1006	1
20561	1019	3
20562	1027	4
20563	1028	1
20564	1024	9
20565	1010	4
20566	1029	8
20567	1025	7
20568	1008	8
20569	1007	2
20570	1020	8
20571	1014	7
20572	1012	6
20573	1025	3
20574	1027	4
20575	1018	4
20576	1010	9
20577	1017	1
20578	1000	6
20579	1002	3
20580	1005	9
20581	1004	2
20582	1016	8
20583	1009	4
20584	1014	7
20585	1016	4
20586	1006	10
20587	1004	8
20588	1028	5
20589	1029	3
20590	1008	10
20591	1010	3
20592	1018	7
20593	1027	7
20594	1017	4
20595	1028	8
20596	1019	2
20597	1021	2
20598	1020	8
20599	1018	3
20600	1000	4
20601	1002	6
20602	1022	2
20603	1028	4
20604	1005	5
20605	1012	1
20606	1015	2
20607	1017	10
20608	1009	9
20609	1021	10
20610	1015	7
20611	1026	7
20612	1021	5
20613	1025	6
20614	1012	1
20615	1011	8
20616	1013	5
20617	1005	1
20618	1019	7
20619	1025	10
20620	1008	6
20621	1021	2
20622	1027	7
20623	1010	2
20624	1027	1
20625	1017	9
20626	1011	2
20627	1009	6
20628	1004	2
20629	1011	5
20630	1018	6
20631	1006	3
20632	1009	7
20633	1019	4
20634	1027	5
20635	1029	6
20636	1002	6
20637	1009	8
20638	1002	8
20639	1026	8
20640	1026	7
20641	1011	6
20642	1011	2
20643	1008	10
20644	1024	7
20645	1024	3
20646	1004	3
20647	1001	9
20648	1007	4
20649	1013	10
