Date	Customer	Amount
2009-04-26 00:00:00	10030	90
2009-04-26 00:00:00	10037	390
2009-04-26 00:00:00	10040	310
2009-04-26 00:00:00	10151	50
2009-04-27 00:00:00	10035	350
2009-04-27 00:00:00	10105	190
2009-04-27 00:00:00	10107	80
2009-04-27 00:00:00	10121	110
2009-04-27 00:00:00	10159	360
2009-04-27 00:00:00	10173	70
2009-04-28 00:00:00	10004	190
2009-04-28 00:00:00	10064	60
2009-04-28 00:00:00	10065	70
2009-04-28 00:00:00	10078	90
2009-04-28 00:00:00	10084	390
2009-04-28 00:00:00	10085	260
2009-04-28 00:00:00	10099	260
2009-04-28 00:00:00	10176	90
2009-04-28 00:00:00	10194	300
2009-04-29 00:00:00	10048	50
2009-04-29 00:00:00	10072	210
2009-04-29 00:00:00	10104	290
2009-04-29 00:00:00	10191	140
2009-04-30 00:00:00	10028	330
2009-04-30 00:00:00	10034	350
2009-04-30 00:00:00	10051	80
2009-04-30 00:00:00	10120	150
2009-04-30 00:00:00	10175	220
2009-05-01 00:00:00	10032	360
2009-05-01 00:00:00	10036	200
2009-05-01 00:00:00	10046	140
2009-05-01 00:00:00	10086	390
2009-05-01 00:00:00	10139	130
2009-05-01 00:00:00	10161	20
2009-05-01 00:00:00	10178	280
2009-05-02 00:00:00	10010	170
2009-05-02 00:00:00	10035	170
2009-05-02 00:00:00	10066	330
2009-05-02 00:00:00	10095	110
2009-05-02 00:00:00	10108	270
2009-05-03 00:00:00	10006	370
2009-05-03 00:00:00	10024	250
2009-05-03 00:00:00	10030	180
2009-05-03 00:00:00	10047	290
2009-05-03 00:00:00	10057	330
2009-05-03 00:00:00	10081	260
2009-05-03 00:00:00	10104	50
2009-05-03 00:00:00	10114	240
2009-05-03 00:00:00	10126	80
2009-05-03 00:00:00	10137	60
2009-05-03 00:00:00	10145	310
2009-05-03 00:00:00	10163	70
2009-05-03 00:00:00	10183	40
2009-05-03 00:00:00	10187	180
2009-05-04 00:00:00	10040	350
2009-05-04 00:00:00	10089	30
2009-05-04 00:00:00	10092	20
2009-05-04 00:00:00	10112	350
2009-05-04 00:00:00	10118	40
2009-05-04 00:00:00	10120	290
2009-05-04 00:00:00	10134	160
2009-05-04 00:00:00	10170	350
2009-05-04 00:00:00	10186	200
2009-05-05 00:00:00	10017	110
2009-05-05 00:00:00	10033	220
2009-05-05 00:00:00	10058	40
2009-05-05 00:00:00	10071	300
2009-05-05 00:00:00	10096	80
2009-05-05 00:00:00	10103	120
2009-05-05 00:00:00	10117	370
2009-05-05 00:00:00	10191	260
2009-05-06 00:00:00	10007	300
2009-05-06 00:00:00	10041	90
2009-05-06 00:00:00	10043	130
2009-05-06 00:00:00	10098	300
2009-05-06 00:00:00	10113	210
2009-05-06 00:00:00	10199	80
2009-05-07 00:00:00	10013	110
2009-05-07 00:00:00	10070	40
2009-05-07 00:00:00	10083	340
2009-05-07 00:00:00	10166	370
2009-05-07 00:00:00	10185	100
2009-05-08 00:00:00	10001	260
2009-05-08 00:00:00	10028	190
2009-05-08 00:00:00	10068	90
2009-05-08 00:00:00	10090	280
2009-05-08 00:00:00	10146	20
2009-05-09 00:00:00	10002	220
2009-05-09 00:00:00	10008	390
2009-05-09 00:00:00	10105	120
2009-05-09 00:00:00	10180	240
2009-05-10 00:00:00	10004	150
2009-05-10 00:00:00	10012	180
2009-05-10 00:00:00	10051	10
2009-05-10 00:00:00	10064	380
2009-05-10 00:00:00	10072	100
2009-05-10 00:00:00	10136	280
2009-05-10 00:00:00	10153	100
2009-05-10 00:00:00	10159	350
2009-05-11 00:00:00	10115	120
2009-05-11 00:00:00	10149	240
2009-05-11 00:00:00	10169	340
2009-05-12 00:00:00	10031	240
2009-05-12 00:00:00	10048	380
2009-05-12 00:00:00	10133	150
2009-05-12 00:00:00	10142	170
2009-05-12 00:00:00	10151	240
2009-05-12 00:00:00	10172	30
2009-05-12 00:00:00	10200	360
2009-05-13 00:00:00	10045	380
2009-05-13 00:00:00	10065	110
2009-05-13 00:00:00	10127	160
2009-05-13 00:00:00	10168	80
2009-05-13 00:00:00	10193	10
2009-05-14 00:00:00	10003	310
2009-05-14 00:00:00	10052	340
2009-05-14 00:00:00	10063	240
2009-05-14 00:00:00	10124	200
2009-05-14 00:00:00	10140	20
2009-05-14 00:00:00	10144	350
2009-05-15 00:00:00	10005	130
2009-05-15 00:00:00	10011	380
2009-05-15 00:00:00	10015	330
2009-05-15 00:00:00	10034	20
2009-05-15 00:00:00	10059	110
2009-05-15 00:00:00	10087	30
2009-05-15 00:00:00	10101	170
2009-05-15 00:00:00	10158	260
2009-05-16 00:00:00	10014	10
2009-05-16 00:00:00	10020	270
2009-05-16 00:00:00	10110	140
2009-05-16 00:00:00	10141	210
2009-05-16 00:00:00	10175	180
2009-05-16 00:00:00	10195	110
2009-05-17 00:00:00	10099	130
2009-05-17 00:00:00	10138	70
2009-05-17 00:00:00	10197	360
2009-05-18 00:00:00	10021	30
2009-05-18 00:00:00	10025	370
2009-05-18 00:00:00	10029	210
2009-05-18 00:00:00	10037	170
2009-05-18 00:00:00	10053	290
2009-05-18 00:00:00	10056	350
2009-05-18 00:00:00	10061	50
2009-05-18 00:00:00	10073	120
2009-05-18 00:00:00	10074	100
2009-05-18 00:00:00	10080	320
2009-05-18 00:00:00	10157	270
2009-05-18 00:00:00	10165	180
2009-05-18 00:00:00	10177	280
2009-05-18 00:00:00	10184	300
2009-05-18 00:00:00	10190	350
2009-05-19 00:00:00	10044	400
2009-05-19 00:00:00	10049	380
2009-05-19 00:00:00	10050	400
2009-05-19 00:00:00	10060	360
2009-05-19 00:00:00	10085	70
2009-05-19 00:00:00	10109	110
2009-05-19 00:00:00	10111	10
2009-05-20 00:00:00	10016	310
2009-05-20 00:00:00	10023	400
2009-05-20 00:00:00	10078	20
2009-05-20 00:00:00	10131	150
2009-05-20 00:00:00	10132	310
2009-05-20 00:00:00	10174	230
2009-05-20 00:00:00	10176	210
2009-05-21 00:00:00	10038	320
2009-05-21 00:00:00	10062	130
2009-05-21 00:00:00	10119	390
2009-05-21 00:00:00	10121	20
2009-05-21 00:00:00	10123	280
2009-05-21 00:00:00	10129	330
2009-05-21 00:00:00	10179	10
2009-05-22 00:00:00	10000	190
2009-05-22 00:00:00	10018	390
2009-05-22 00:00:00	10039	160
2009-05-22 00:00:00	10093	330
2009-05-22 00:00:00	10100	240
2009-05-22 00:00:00	10122	310
2009-05-22 00:00:00	10130	310
2009-05-22 00:00:00	10167	130
2009-05-23 00:00:00	10054	180
2009-05-23 00:00:00	10075	360
2009-05-23 00:00:00	10128	110
2009-05-23 00:00:00	10154	140
2009-05-24 00:00:00	10026	20
2009-05-24 00:00:00	10042	10
2009-05-24 00:00:00	10076	90
2009-05-24 00:00:00	10088	350
2009-05-24 00:00:00	10097	190
2009-05-24 00:00:00	10135	240
2009-05-24 00:00:00	10156	400
2009-05-24 00:00:00	10192	330
2009-05-25 00:00:00	10173	150
2009-06-23 00:00:00	10126	70
2009-06-23 00:00:00	10197	150
2009-06-24 00:00:00	10024	120
2009-06-24 00:00:00	10077	270
2009-06-24 00:00:00	10116	310
2009-06-24 00:00:00	10155	40
2009-06-24 00:00:00	10181	360
2009-06-25 00:00:00	10078	380
2009-06-25 00:00:00	10084	90
2009-06-25 00:00:00	10097	200
2009-06-25 00:00:00	10123	400
2009-06-25 00:00:00	10140	270
2009-06-25 00:00:00	10159	90
2009-06-25 00:00:00	10184	140
2009-06-25 00:00:00	10186	400
2009-06-25 00:00:00	10191	360
2009-06-26 00:00:00	10058	20
2009-06-26 00:00:00	10067	300
2009-06-26 00:00:00	10083	340
2009-06-26 00:00:00	10088	110
2009-06-26 00:00:00	10107	340
2009-06-26 00:00:00	10112	400
2009-06-26 00:00:00	10114	220
2009-06-27 00:00:00	10017	330
2009-06-27 00:00:00	10034	360
2009-06-27 00:00:00	10052	400
2009-06-27 00:00:00	10080	10
2009-06-27 00:00:00	10146	340
2009-06-28 00:00:00	10012	80
2009-06-28 00:00:00	10025	360
2009-06-28 00:00:00	10081	300
2009-06-28 00:00:00	10117	130
2009-06-28 00:00:00	10118	210
2009-06-28 00:00:00	10120	280
2009-06-28 00:00:00	10177	180
2009-06-28 00:00:00	10188	130
2009-06-29 00:00:00	10121	100
2009-06-29 00:00:00	10139	380
2009-06-30 00:00:00	10033	80
2009-06-30 00:00:00	10049	330
2009-06-30 00:00:00	10059	120
2009-06-30 00:00:00	10061	40
2009-07-01 00:00:00	10006	160
2009-07-01 00:00:00	10009	100
2009-07-01 00:00:00	10030	170
2009-07-01 00:00:00	10075	50
2009-07-01 00:00:00	10076	110
2009-07-01 00:00:00	10109	330
2009-07-01 00:00:00	10132	260
2009-07-01 00:00:00	10143	210
2009-07-01 00:00:00	10149	320
2009-07-01 00:00:00	10198	70
2009-07-02 00:00:00	10053	50
2009-07-02 00:00:00	10071	120
2009-07-02 00:00:00	10163	20
2009-07-03 00:00:00	10018	310
2009-07-03 00:00:00	10042	120
2009-07-03 00:00:00	10052	380
2009-07-03 00:00:00	10079	150
2009-07-03 00:00:00	10086	340
2009-07-03 00:00:00	10141	10
2009-07-03 00:00:00	10148	280
2009-07-03 00:00:00	10160	260
2009-07-03 00:00:00	10179	300
2009-07-04 00:00:00	10060	380
2009-07-04 00:00:00	10073	290
2009-07-04 00:00:00	10083	200
2009-07-04 00:00:00	10092	250
2009-07-04 00:00:00	10103	160
2009-07-04 00:00:00	10115	290
2009-07-04 00:00:00	10155	50
2009-07-04 00:00:00	10157	150
2009-07-04 00:00:00	10190	340
2009-07-04 00:00:00	10199	340
2009-07-05 00:00:00	10005	60
