Subscriber	Time	CalledNo
10004	2010-01-01 00:10:03	--------
10008	2010-01-01 00:33:18	--------
10009	2010-01-01 00:37:57	--------
10009	2010-01-01 01:10:30	--------
10000	2010-01-01 01:29:06	--------
10007	2010-01-01 01:33:45	--------
10005	2010-01-01 01:38:24	--------
10000	2010-01-01 01:43:03	--------
10009	2010-01-01 01:43:03	--------
10004	2010-01-01 01:52:21	--------
10009	2010-01-01 01:57:00	--------
10005	2010-01-01 02:10:57	--------
10001	2010-01-01 02:20:15	--------
10010	2010-01-01 02:24:54	--------
10004	2010-01-01 02:29:33	--------
10010	2010-01-01 02:29:33	--------
10004	2010-01-01 02:34:12	--------
10003	2010-01-01 02:52:48	--------
10004	2010-01-01 03:06:45	--------
10004	2010-01-01 03:20:42	--------
10008	2010-01-01 03:30:00	--------
10006	2010-01-01 03:34:39	--------
10005	2010-01-01 03:43:57	--------
10005	2010-01-01 03:48:36	--------
10010	2010-01-01 04:11:51	--------
10004	2010-01-01 04:21:09	--------
10008	2010-01-01 04:39:45	--------
10003	2010-01-01 04:44:24	--------
10002	2010-01-01 04:58:21	--------
10002	2010-01-01 05:03:00	--------
10005	2010-01-01 05:03:00	--------
10010	2010-01-01 05:03:00	--------
10005	2010-01-01 05:21:36	--------
10005	2010-01-01 05:26:15	--------
10010	2010-01-01 05:35:33	--------
10008	2010-01-01 05:40:12	--------
10010	2010-01-01 05:40:12	--------
10007	2010-01-01 05:44:51	--------
10003	2010-01-01 06:03:27	--------
10005	2010-01-01 06:08:06	--------
10001	2010-01-01 06:22:03	--------
10005	2010-01-01 06:36:00	--------
10001	2010-01-01 06:49:57	--------
10007	2010-01-01 06:49:57	--------
10009	2010-01-01 06:59:15	--------
10007	2010-01-01 07:13:12	--------
10009	2010-01-01 07:13:12	--------
10005	2010-01-01 07:27:09	--------
10000	2010-01-01 07:31:48	--------
10006	2010-01-01 07:31:48	--------
10006	2010-01-01 07:45:45	--------
10005	2010-01-01 07:55:03	--------
10005	2010-01-01 08:13:39	--------
10000	2010-01-01 09:14:06	--------
10008	2010-01-01 09:18:45	--------
10007	2010-01-01 10:00:36	--------
10010	2010-01-01 10:00:36	--------
10009	2010-01-01 10:05:15	--------
10001	2010-01-01 10:14:33	--------
10004	2010-01-01 10:47:06	--------
10005	2010-01-01 11:01:03	--------
10003	2010-01-01 11:05:42	--------
10005	2010-01-01 11:05:42	--------
10008	2010-01-01 11:05:42	--------
10001	2010-01-01 11:10:21	--------
10005	2010-01-01 11:10:21	--------
10006	2010-01-01 11:19:39	--------
10007	2010-01-01 11:56:51	--------
10009	2010-01-01 12:01:30	--------
10005	2010-01-01 12:06:09	--------
10004	2010-01-01 12:15:27	--------
10010	2010-01-01 12:34:03	--------
10010	2010-01-01 12:38:42	--------
10001	2010-01-01 12:43:21	--------
10006	2010-01-01 12:48:00	--------
10004	2010-01-01 13:11:15	--------
10010	2010-01-01 13:20:33	--------
10005	2010-01-01 13:25:12	--------
10010	2010-01-01 13:25:12	--------
10009	2010-01-01 13:43:48	--------
10005	2010-01-01 14:30:18	--------
10001	2010-01-01 14:34:57	--------
10010	2010-01-01 14:34:57	--------
10004	2010-01-01 14:48:54	--------
10006	2010-01-01 15:16:48	--------
10008	2010-01-01 15:16:48	--------
10001	2010-01-01 15:21:27	--------
10006	2010-01-01 15:30:45	--------
10001	2010-01-01 15:40:03	--------
10000	2010-01-01 15:44:42	--------
10005	2010-01-01 15:54:00	--------
10010	2010-01-01 16:07:57	--------
10001	2010-01-01 17:13:03	--------
10010	2010-01-01 17:13:03	--------
10006	2010-01-01 17:22:21	--------
10010	2010-01-01 17:31:39	--------
10010	2010-01-01 17:36:18	--------
10005	2010-01-01 17:50:15	--------
10009	2010-01-01 17:50:15	--------
10007	2010-01-01 18:27:27	--------
10008	2010-01-01 18:36:45	--------
10001	2010-01-01 18:41:24	--------
10005	2010-01-01 18:50:42	--------
10008	2010-01-01 18:50:42	--------
10008	2010-01-01 19:09:18	--------
10007	2010-01-01 19:13:57	--------
10001	2010-01-01 19:27:54	--------
10005	2010-01-01 19:46:30	--------
10005	2010-01-01 19:51:09	--------
10005	2010-01-01 20:05:06	--------
10005	2010-01-01 20:37:39	--------
10009	2010-01-01 21:05:33	--------
10009	2010-01-01 21:10:12	--------
10006	2010-01-01 21:19:30	--------
10004	2010-01-01 21:24:09	--------
10003	2010-01-01 21:28:48	--------
10004	2010-01-01 21:38:06	--------
10007	2010-01-01 21:47:24	--------
10006	2010-01-01 22:10:39	--------
10010	2010-01-01 22:10:39	--------
10005	2010-01-01 22:38:33	--------
10004	2010-01-01 22:43:12	--------
10005	2010-01-01 22:43:12	--------
10000	2010-01-01 22:47:51	--------
10001	2010-01-01 22:47:51	--------
10009	2010-01-01 22:47:51	--------
10008	2010-01-01 22:57:09	--------
10007	2010-01-01 23:01:48	--------
10010	2010-01-01 23:11:06	--------
