Datetime	Commodity	Volume
2009-06-01 08:05:00	20077	28
2009-06-01 08:11:40	20056	47
2009-06-01 08:18:20	20094	34
2009-06-01 08:21:40	20020	19
2009-06-01 08:41:40	20013	42
2009-06-01 08:45:00	20077	1
2009-06-01 08:51:40	20069	19
2009-06-01 09:05:00	20011	22
2009-06-01 09:08:20	20007	22
2009-06-01 09:11:40	20005	39
2009-06-01 09:18:20	20085	31
2009-06-01 09:21:40	20054	8
2009-06-01 09:28:20	20011	49
2009-06-01 09:31:40	20094	16
2009-06-01 09:38:20	20022	40
2009-06-01 09:41:40	20057	11
2009-06-01 09:45:00	20003	19
2009-06-01 09:48:20	20078	36
2009-06-01 09:51:40	20049	40
2009-06-01 10:01:40	20090	36
2009-06-01 10:08:20	20061	32
2009-06-01 10:11:40	20037	13
2009-06-01 10:15:00	20093	1
2009-06-01 10:18:20	20023	47
2009-06-01 10:21:40	20027	24
2009-06-01 10:38:20	20091	21
2009-06-01 10:41:40	20024	9
2009-06-01 10:48:20	20064	24
2009-06-01 10:51:40	20044	15
2009-06-01 10:55:00	20026	43
2009-06-01 10:58:20	20010	13
2009-06-01 11:01:40	20089	10
2009-06-01 11:08:20	20044	19
2009-06-01 11:11:40	20032	33
2009-06-01 11:18:20	20078	36
2009-06-01 11:21:40	20073	11
2009-06-01 11:28:20	20029	26
2009-06-01 11:31:40	20088	38
2009-06-01 11:41:40	20064	14
2009-06-01 11:48:20	20066	14
2009-06-01 11:51:40	20042	9
2009-06-01 11:55:00	20002	39
2009-06-01 12:01:40	20068	30
2009-06-01 12:05:00	20077	24
2009-06-01 12:11:40	20067	25
2009-06-01 12:15:00	20091	2
2009-06-01 12:18:20	20015	40
2009-06-01 12:21:40	20020	47
2009-06-01 12:25:00	20074	33
2009-06-01 12:28:20	20037	23
2009-06-01 12:31:40	20041	31
2009-06-01 12:35:00	20074	19
2009-06-01 12:38:20	20041	5
2009-06-01 12:41:40	20024	7
2009-06-01 12:45:00	20009	11
2009-06-01 12:51:40	20074	46
2009-06-01 12:55:00	20070	43
2009-06-01 12:58:20	20078	20
2009-06-01 13:01:40	20039	38
2009-06-01 13:08:20	20068	36
2009-06-01 13:18:20	20079	3
2009-06-01 13:25:00	20061	36
2009-06-01 13:35:00	20085	34
2009-06-01 13:38:20	20011	41
2009-06-01 13:45:00	20002	24
2009-06-01 13:48:20	20067	33
2009-06-01 13:51:40	20038	14
2009-06-01 13:55:00	20095	35
2009-06-01 14:01:40	20005	17
2009-06-01 14:05:00	20052	5
2009-06-01 14:11:40	20007	43
2009-06-01 14:15:00	20097	12
