Student	Subject	Score
10001	1	71
10001	2	81
10001	3	81
10001	4	83
10001	5	77
10001	6	69
10001	7	76
10001	8	72
10001	9	64
10001	10	84
10001	11	69
10001	12	84
10001	13	94
10001	14	96
10001	15	72
10001	16	89
10001	17	94
10001	18	71
10001	19	86
10001	20	86
10001	21	63
10001	26	81
10001	24	62
10001	23	95
10001	33	68
10001	30	74
10001	32	88
10001	28	68
10001	27	88
10001	34	99
10001	31	93
10001	29	85
10002	1	87
10002	2	67
10002	3	79
10002	4	96
10002	5	64
10002	6	65
10002	7	65
10002	8	85
10002	9	86
10002	10	96
10002	11	86
10002	12	93
10002	13	61
10002	14	72
10002	15	89
10002	16	99
10002	17	61
10002	18	60
10002	19	97
10002	20	75
10002	21	67
10002	26	94
10002	34	97
10002	35	81
10002	29	91
10002	22	72
10002	27	88
10002	33	88
10002	24	83
10002	23	79
10002	30	89
10002	25	75
10002	31	93
10002	28	93
10003	1	88
10003	2	97
10003	3	91
10003	4	80
10003	5	97
10003	6	87
10003	7	70
10003	8	80
10003	9	64
10003	10	65
10003	11	88
10003	12	64
10003	13	79
10003	14	64
10003	15	98
10003	16	81
10003	17	88
10003	18	81
10003	19	90
10003	20	74
10003	21	84
10003	26	77
10003	30	67
10003	24	63
10003	25	70
10003	35	91
10003	34	70
10003	27	73
10003	32	93
10003	28	78
10003	31	94
10004	1	53
10004	2	79
10004	3	70
10004	4	66
10004	5	90
10004	6	97
10004	7	98
10004	8	85
10004	9	92
10004	10	98
10004	11	89
10004	12	83
10004	13	63
10004	14	97
10004	15	88
10004	16	60
10004	17	97
10004	18	84
10004	19	92
10004	20	99
10004	21	75
10004	26	64
10004	28	72
10004	31	94
10004	30	75
10004	22	75
10004	35	93
10004	27	70
10004	24	65
10004	33	88
10004	25	90
10004	34	89
10004	32	61
10005	1	91
10005	2	61
10005	3	70
10005	4	76
10005	5	82
10005	6	86
10005	7	81
10005	8	88
10005	9	85
10005	10	98
10005	11	78
10005	12	75
10005	13	85
10005	14	62
10005	15	84
10005	16	65
10005	17	80
10005	18	66
10005	19	93
10005	20	64
10005	21	81
10005	26	69
10005	29	89
10005	32	80
10005	28	89
