SeatNo	Availability
1	true
2	true
3	true
4	true
5	false
6	false
7	false
8	false
9	false
10	false
11	true
12	true
13	false
14	false
15	false
16	false
17	false
18	false
19	false
20	false
21	false
22	false
23	true
24	true
25	true
26	false
27	false
28	false
29	false
30	false
31	false
32	false
33	false
34	true
35	true
36	false
37	false
38	false
39	false
40	true
41	false
42	false
43	false
44	false
45	false
46	true
47	true
48	true
49	true
50	true
51	true
52	true
53	true
54	true
55	true
56	true
57	true
58	false
59	true
60	true
61	true
62	true
63	true
64	true
65	true
66	true
67	true
68	true
69	true
70	true
71	true
72	false
73	false
74	false
75	false
76	false
77	false
78	false
79	false
80	false
81	false
82	false
83	false
84	false
85	true
86	true
87	true
88	true
89	true
90	true
91	false
92	false
93	false
94	false
95	true
96	true
97	true
98	true
99	false
100	true
101	true
102	false
103	true
104	true
105	true
106	false
107	false
108	false
109	true
110	true
111	false
112	false
113	false
114	true
115	true
116	true
117	true
118	true
119	true
120	true
121	true
122	true
123	true
124	false
125	true
126	true
127	true
128	true
129	false
130	false
131	false
132	true
133	false
134	false
135	true
136	true
137	true
138	true
139	true
140	true
141	true
142	true
143	true
144	true
145	true
146	true
147	true
148	true
149	true
150	true
151	true
152	true
153	true
154	true
155	true
156	false
157	false
158	false
159	false
160	false
161	true
162	true
163	true
164	true
165	false
166	false
167	false
168	false
169	false
170	false
171	true
172	false
173	true
174	true
175	false
176	false
177	false
178	false
179	false
180	false
181	true
182	true
183	true
184	true
185	true
186	true
187	false
188	true
189	false
190	false
191	false
192	false
193	false
194	false
195	false
196	true
197	true
198	true
199	false
200	false
201	false
202	false
203	false
204	false
205	false
206	false
207	false
208	false
209	false
210	false
211	false
212	false
213	false
214	false
215	false
216	false
217	true
218	true
219	true
220	false
221	false
222	false
223	true
224	true
225	true
226	true
227	false
228	false
229	false
230	false
231	false
232	false
233	false
234	true
235	true
236	false
237	false
238	false
239	false
240	false
241	false
242	false
243	false
244	false
245	false
246	true
247	true
248	false
249	true
250	true
251	true
252	true
253	true
254	true
255	false
256	false
257	false
258	false
259	false
260	true
261	true
262	true
263	true
264	true
265	true
266	true
267	true
268	true
269	false
270	false
271	false
272	false
273	false
274	false
275	false
276	false
277	true
278	false
279	true
280	true
281	true
282	true
283	true
284	false
285	false
286	false
287	true
288	true
289	false
290	true
291	true
292	false
293	true
294	true
295	true
296	false
297	false
298	true
299	false
300	true
301	true
302	false
303	false
304	false
305	true
306	false
307	true
308	true
309	true
310	true
311	true
312	true
313	true
314	true
315	true
316	false
317	false
318	false
319	true
320	true
321	true
322	false
323	false
324	false
325	false
326	true
327	false
328	false
329	false
330	false
331	true
332	true
333	true
334	true
335	false
336	false
337	false
338	false
339	false
340	false
341	false
342	false
343	false
344	false
345	false
346	false
347	false
348	false
349	true
350	false
351	false
352	true
353	true
354	true
355	true
356	true
357	true
358	true
359	true
360	true
361	false
362	true
363	true
364	true
365	true
366	true
367	false
368	true
369	true
370	true
371	false
372	true
373	false
374	false
375	true
376	true
377	true
378	true
379	true
380	true
381	true
382	true
383	true
384	true
385	false
386	false
387	false
388	false
389	false
390	false
391	false
392	false
393	true
394	false
395	false
396	true
397	true
398	true
399	true
400	true
401	true
402	true
403	true
404	false
405	false
406	false
407	false
408	false
409	true
410	true
411	true
412	true
413	true
414	false
415	true
416	true
417	true
418	true
419	true
420	true
421	true
422	true
423	false
424	false
425	false
426	false
427	false
428	false
429	true
430	true
431	true
432	true
433	false
434	false
435	false
436	false
437	false
438	true
439	false
440	false
