CODE	DT	CL
110330	2009-01-01 00:00:00	1.87
110334	2009-01-01 00:00:00	16.85
110350	2009-01-01 00:00:00	27.26
110375	2009-01-01 00:00:00	24.44
110479	2009-01-01 00:00:00	24.16
110501	2009-01-01 00:00:00	16.26
110536	2009-01-01 00:00:00	194.04
110538	2009-01-01 00:00:00	51.21
110604	2009-01-01 00:00:00	42.41
110651	2009-01-01 00:00:00	3.89
110675	2009-01-01 00:00:00	20.42
110724	2009-01-01 00:00:00	4.72
110820	2009-01-01 00:00:00	21.26
110838	2009-01-01 00:00:00	91.41
110841	2009-01-01 00:00:00	28.18
110896	2009-01-01 00:00:00	4.93
110914	2009-01-01 00:00:00	26.38
110921	2009-01-01 00:00:00	42.27
110987	2009-01-01 00:00:00	19.32
110992	2009-01-01 00:00:00	23.71
120019	2009-01-01 00:00:00	1.97
120029	2009-01-01 00:00:00	34.01
120059	2009-01-01 00:00:00	52.45
120089	2009-01-01 00:00:00	50.24
120123	2009-01-01 00:00:00	10.35
120136	2009-01-01 00:00:00	43.37
120141	2009-01-01 00:00:00	41.86
120170	2009-01-01 00:00:00	194.63
120243	2009-01-01 00:00:00	15.75
120319	2009-01-01 00:00:00	1.36
120343	2009-01-01 00:00:00	20.95
120344	2009-01-01 00:00:00	232.38
120355	2009-01-01 00:00:00	31.6
120414	2009-01-01 00:00:00	244.32
120439	2009-01-01 00:00:00	181.36
120484	2009-01-01 00:00:00	6.27
120528	2009-01-01 00:00:00	43.86
120533	2009-01-01 00:00:00	227.91
120584	2009-01-01 00:00:00	25.12
120607	2009-01-01 00:00:00	36.36
120626	2009-01-01 00:00:00	29.36
120630	2009-01-01 00:00:00	29.77
120642	2009-01-01 00:00:00	30.98
120657	2009-01-01 00:00:00	32.73
120661	2009-01-01 00:00:00	38.46
120696	2009-01-01 00:00:00	33.01
120707	2009-01-01 00:00:00	32.69
120729	2009-01-01 00:00:00	47.75
120750	2009-01-01 00:00:00	19.77
120753	2009-01-01 00:00:00	35.33
120777	2009-01-01 00:00:00	18.54
120822	2009-01-01 00:00:00	39.73
120850	2009-01-01 00:00:00	7.96
120906	2009-01-01 00:00:00	46.73
120917	2009-01-01 00:00:00	14.78
120961	2009-01-01 00:00:00	44.83
120971	2009-01-01 00:00:00	55.37
129021	2009-01-01 00:00:00	239.53
129025	2009-01-01 00:00:00	15.43
129030	2009-01-01 00:00:00	15.99
129040	2009-01-01 00:00:00	87.0
129065	2009-01-01 00:00:00	16.46
129077	2009-01-01 00:00:00	20.35
129093	2009-01-01 00:00:00	2.12
129095	2009-01-01 00:00:00	20.04
129097	2009-01-01 00:00:00	22.82
129098	2009-01-01 00:00:00	3.06
129205	2009-01-01 00:00:00	1.08
129211	2009-01-01 00:00:00	94.32
129235	2009-01-01 00:00:00	53.95
129244	2009-01-01 00:00:00	21.76
129269	2009-01-01 00:00:00	33.26
129278	2009-01-01 00:00:00	241.22
129303	2009-01-01 00:00:00	167.56
129305	2009-01-01 00:00:00	6.98
129321	2009-01-01 00:00:00	89.72
129372	2009-01-01 00:00:00	25.36
129373	2009-01-01 00:00:00	44.65
129379	2009-01-01 00:00:00	2.38
129382	2009-01-01 00:00:00	53.22
129397	2009-01-01 00:00:00	30.43
129401	2009-01-01 00:00:00	3.24
129402	2009-01-01 00:00:00	8.44
129457	2009-01-01 00:00:00	44.87
129488	2009-01-01 00:00:00	46.8
129547	2009-01-01 00:00:00	8.38
129551	2009-01-01 00:00:00	19.24
129578	2009-01-01 00:00:00	38.03
