Date	Commodity	Stock
2008-12-31 00:00:00	20001	16
2008-12-31 00:00:00	20002	3
2008-12-31 00:00:00	20003	120
2008-12-31 00:00:00	20004	151
2008-12-31 00:00:00	20005	134
2008-12-31 00:00:00	20006	107
2008-12-31 00:00:00	20007	136
2008-12-31 00:00:00	20008	3
2008-12-31 00:00:00	20009	147
2008-12-31 00:00:00	20010	74
2008-12-31 00:00:00	20011	173
2008-12-31 00:00:00	20012	116
2008-12-31 00:00:00	20013	178
2008-12-31 00:00:00	20014	182
2008-12-31 00:00:00	20015	1
2008-12-31 00:00:00	20016	74
2008-12-31 00:00:00	20017	4
2008-12-31 00:00:00	20018	57
2008-12-31 00:00:00	20019	84
2008-12-31 00:00:00	20020	73
2008-12-31 00:00:00	20021	135
2008-12-31 00:00:00	20022	117
2008-12-31 00:00:00	20023	127
2008-12-31 00:00:00	20024	76
2008-12-31 00:00:00	20025	56
2008-12-31 00:00:00	20026	80
2008-12-31 00:00:00	20027	22
2008-12-31 00:00:00	20028	64
2008-12-31 00:00:00	20029	164
2008-12-31 00:00:00	20030	92
2008-12-31 00:00:00	20031	90
2008-12-31 00:00:00	20032	53
2008-12-31 00:00:00	20033	193
2008-12-31 00:00:00	20034	64
2008-12-31 00:00:00	20035	78
2008-12-31 00:00:00	20036	17
2008-12-31 00:00:00	20037	181
2008-12-31 00:00:00	20038	102
2008-12-31 00:00:00	20039	126
2008-12-31 00:00:00	20040	156
2008-12-31 00:00:00	20041	21
2008-12-31 00:00:00	20042	126
2008-12-31 00:00:00	20043	198
2008-12-31 00:00:00	20044	7
2008-12-31 00:00:00	20045	165
2008-12-31 00:00:00	20046	97
2008-12-31 00:00:00	20047	158
2008-12-31 00:00:00	20048	61
2008-12-31 00:00:00	20049	3
2008-12-31 00:00:00	20050	114
2008-12-31 00:00:00	20051	33
2008-12-31 00:00:00	20052	157
2008-12-31 00:00:00	20053	43
2008-12-31 00:00:00	20054	138
2008-12-31 00:00:00	20055	25
2008-12-31 00:00:00	20056	141
2008-12-31 00:00:00	20057	103
2008-12-31 00:00:00	20058	184
2008-12-31 00:00:00	20059	103
2008-12-31 00:00:00	20060	104
2008-12-31 00:00:00	20061	29
2008-12-31 00:00:00	20062	128
2008-12-31 00:00:00	20063	134
2008-12-31 00:00:00	20064	109
2008-12-31 00:00:00	20065	60
2008-12-31 00:00:00	20066	162
2008-12-31 00:00:00	20067	102
2008-12-31 00:00:00	20068	184
2008-12-31 00:00:00	20069	175
2008-12-31 00:00:00	20070	58
2008-12-31 00:00:00	20071	193
2008-12-31 00:00:00	20072	149
2008-12-31 00:00:00	20073	65
2008-12-31 00:00:00	20074	93
2008-12-31 00:00:00	20075	32
2008-12-31 00:00:00	20076	149
2008-12-31 00:00:00	20077	125
2008-12-31 00:00:00	20078	26
2008-12-31 00:00:00	20079	118
2008-12-31 00:00:00	20080	138
2008-12-31 00:00:00	20081	51
2008-12-31 00:00:00	20082	38
2008-12-31 00:00:00	20083	82
2008-12-31 00:00:00	20084	87
2008-12-31 00:00:00	20085	112
2008-12-31 00:00:00	20086	78
2008-12-31 00:00:00	20087	93
2008-12-31 00:00:00	20088	86
2008-12-31 00:00:00	20089	71
2008-12-31 00:00:00	20090	0
2008-12-31 00:00:00	20091	53
2008-12-31 00:00:00	20092	46
2008-12-31 00:00:00	20093	100
2008-12-31 00:00:00	20094	16
2008-12-31 00:00:00	20095	165
2008-12-31 00:00:00	20096	94
2008-12-31 00:00:00	20097	89
2008-12-31 00:00:00	20098	152
2008-12-31 00:00:00	20099	154
2008-12-31 00:00:00	20100	138
2009-01-31 00:00:00	20001	8
2009-01-31 00:00:00	20002	139
2009-01-31 00:00:00	20003	51
2009-01-31 00:00:00	20004	51
2009-01-31 00:00:00	20005	141
2009-01-31 00:00:00	20006	149
2009-01-31 00:00:00	20007	43
2009-01-31 00:00:00	20008	131
2009-01-31 00:00:00	20009	19
2009-01-31 00:00:00	20010	144
2009-01-31 00:00:00	20011	60
2009-01-31 00:00:00	20012	85
2009-01-31 00:00:00	20013	98
2009-01-31 00:00:00	20014	189
2009-01-31 00:00:00	20015	60
2009-01-31 00:00:00	20016	184
2009-01-31 00:00:00	20017	9
2009-01-31 00:00:00	20018	67
2009-01-31 00:00:00	20019	72
2009-01-31 00:00:00	20020	68
2009-01-31 00:00:00	20021	87
2009-01-31 00:00:00	20022	114
2009-01-31 00:00:00	20023	19
2009-01-31 00:00:00	20024	58
2009-01-31 00:00:00	20025	0
2009-01-31 00:00:00	20026	187
2009-01-31 00:00:00	20027	5
2009-01-31 00:00:00	20028	115
2009-01-31 00:00:00	20029	108
2009-01-31 00:00:00	20030	105
2009-01-31 00:00:00	20031	0
2009-01-31 00:00:00	20032	144
2009-01-31 00:00:00	20033	172
2009-01-31 00:00:00	20034	61
2009-01-31 00:00:00	20035	9
2009-01-31 00:00:00	20036	53
2009-01-31 00:00:00	20037	194
2009-01-31 00:00:00	20038	176
2009-01-31 00:00:00	20039	27
2009-01-31 00:00:00	20040	139
2009-01-31 00:00:00	20041	35
2009-01-31 00:00:00	20042	135
2009-01-31 00:00:00	20043	99
2009-01-31 00:00:00	20044	110
2009-01-31 00:00:00	20045	158
2009-01-31 00:00:00	20046	110
2009-01-31 00:00:00	20047	150
2009-01-31 00:00:00	20048	18
2009-01-31 00:00:00	20049	10
2009-01-31 00:00:00	20050	186
2009-01-31 00:00:00	20051	188
2009-01-31 00:00:00	20052	112
2009-01-31 00:00:00	20053	174
2009-01-31 00:00:00	20054	146
2009-01-31 00:00:00	20055	124
2009-01-31 00:00:00	20056	37
2009-01-31 00:00:00	20057	96
2009-01-31 00:00:00	20058	136
2009-01-31 00:00:00	20059	121
2009-01-31 00:00:00	20060	116
2009-01-31 00:00:00	20061	124
2009-01-31 00:00:00	20062	156
2009-01-31 00:00:00	20063	116
2009-01-31 00:00:00	20064	98
2009-01-31 00:00:00	20065	189
2009-01-31 00:00:00	20066	2
2009-01-31 00:00:00	20067	172
2009-01-31 00:00:00	20068	75
2009-01-31 00:00:00	20069	83
2009-01-31 00:00:00	20070	131
2009-01-31 00:00:00	20071	120
2009-01-31 00:00:00	20072	126
2009-01-31 00:00:00	20073	32
2009-01-31 00:00:00	20074	18
2009-01-31 00:00:00	20075	111
2009-01-31 00:00:00	20076	182
2009-01-31 00:00:00	20077	150
2009-01-31 00:00:00	20078	7
2009-01-31 00:00:00	20079	7
2009-01-31 00:00:00	20080	88
2009-01-31 00:00:00	20081	51
2009-01-31 00:00:00	20082	199
2009-01-31 00:00:00	20083	188
2009-01-31 00:00:00	20084	154
2009-01-31 00:00:00	20085	102
2009-01-31 00:00:00	20086	145
2009-01-31 00:00:00	20087	6
2009-01-31 00:00:00	20088	196
2009-01-31 00:00:00	20089	159
2009-01-31 00:00:00	20090	73
2009-01-31 00:00:00	20091	59
2009-01-31 00:00:00	20092	29
2009-01-31 00:00:00	20093	195
2009-01-31 00:00:00	20094	13
2009-01-31 00:00:00	20095	33
2009-01-31 00:00:00	20096	33
2009-01-31 00:00:00	20097	86
2009-01-31 00:00:00	20098	160
2009-01-31 00:00:00	20099	96
2009-01-31 00:00:00	20100	38
2009-02-28 00:00:00	20001	71
2009-02-28 00:00:00	20002	65
2009-02-28 00:00:00	20003	156
2009-02-28 00:00:00	20004	29
2009-02-28 00:00:00	20005	25
2009-02-28 00:00:00	20006	18
2009-02-28 00:00:00	20007	191
2009-02-28 00:00:00	20008	198
2009-02-28 00:00:00	20009	197
2009-02-28 00:00:00	20010	75
2009-02-28 00:00:00	20011	134
2009-02-28 00:00:00	20012	152
2009-02-28 00:00:00	20013	32
2009-02-28 00:00:00	20014	140
2009-02-28 00:00:00	20015	16
2009-02-28 00:00:00	20016	122
2009-02-28 00:00:00	20017	104
2009-02-28 00:00:00	20018	28
2009-02-28 00:00:00	20019	1
2009-02-28 00:00:00	20020	115
2009-02-28 00:00:00	20021	81
2009-02-28 00:00:00	20022	19
2009-02-28 00:00:00	20023	147
2009-02-28 00:00:00	20024	176
2009-02-28 00:00:00	20025	147
2009-02-28 00:00:00	20026	105
2009-02-28 00:00:00	20027	133
2009-02-28 00:00:00	20028	78
2009-02-28 00:00:00	20029	122
2009-02-28 00:00:00	20030	164
2009-02-28 00:00:00	20031	97
2009-02-28 00:00:00	20032	166
2009-02-28 00:00:00	20033	151
2009-02-28 00:00:00	20034	182
2009-02-28 00:00:00	20035	83
2009-02-28 00:00:00	20036	41
2009-02-28 00:00:00	20037	125
2009-02-28 00:00:00	20038	88
2009-02-28 00:00:00	20039	178
2009-02-28 00:00:00	20040	13
2009-02-28 00:00:00	20041	173
2009-02-28 00:00:00	20042	80
2009-02-28 00:00:00	20043	108
2009-02-28 00:00:00	20044	9
2009-02-28 00:00:00	20045	165
2009-02-28 00:00:00	20046	148
2009-02-28 00:00:00	20047	146
2009-02-28 00:00:00	20048	82
2009-02-28 00:00:00	20049	32
2009-02-28 00:00:00	20050	70
2009-02-28 00:00:00	20051	181
2009-02-28 00:00:00	20052	28
2009-02-28 00:00:00	20053	41
2009-02-28 00:00:00	20054	152
2009-02-28 00:00:00	20055	27
2009-02-28 00:00:00	20056	115
2009-02-28 00:00:00	20057	146
2009-02-28 00:00:00	20058	189
2009-02-28 00:00:00	20059	103
2009-02-28 00:00:00	20060	63
2009-02-28 00:00:00	20061	165
2009-02-28 00:00:00	20062	133
2009-02-28 00:00:00	20063	1
2009-02-28 00:00:00	20064	158
2009-02-28 00:00:00	20065	32
2009-02-28 00:00:00	20066	163
2009-02-28 00:00:00	20067	19
2009-02-28 00:00:00	20068	127
2009-02-28 00:00:00	20069	128
2009-02-28 00:00:00	20070	83
2009-02-28 00:00:00	20071	21
