ID	Subject	Credits	Category	Compulsory
1	English	3	A	true
2	Calculus	4	B	true
3	Probability	3	B	true
4	Linear Algebra	3	B	true
5	Basic Chemistry Experiment	2	B	true
6	Botany	2	B	true
7	Plant Physiology	2	B	true
8	Inorganic and Analytical Chemistry	2	B	true
9	Biochemistry	2	B	true
10	Soil and Agricultural Chemistry	2	B	true
11	Organic Chemistry	3	B	true
12	Organic Chemistry Experiment	2	B	true
13	General Physics	2	B	true
14	Military Theory	1	C	true
15	Legal basis	2	A	true
16	Computer programming	2	B	true
17	Protein Chemistry	2	B	true
18	Introduction to Philosophy	2	A	false
19	World History	2	A	false
20	Molecular Biology	2	B	true
21	World politics and economy	2	A	true
22	Preliminary Design	2	B	false
23	Descriptive Geometry and Architectural Drawing	2	B	false
24	Preliminary architecture	2	B	false
25	Basic astronomy	2	B	false
26	Physical Education	1	C	true
27	Volleyball	2	C	false
28	Football	2	C	false
29	Basketball	2	C	false
30	Badminton	2	C	false
31	European Film Appreciation	2	A	false
32	Appreciation of World Literature	2	A	false
33	Preliminary Sketch	2	A	false
34	Introduction to Psychology	2	A	false
35	Classical Music Appreciation	2	A	false
