sno	pno
2	1009
7	1005
9	1010
10	1006
8	1011
7	1000
1	1004
4	1010
2	1005
5	1008
9	1011
3	1009
10	1005
4	1003
8	1015
2	1013
4	1015
7	1001
1	1019
9	1019
5	1011
8	1014
2	1019
5	1002
8	1001
3	1017
8	1009
9	1012
7	1009
8	1016
9	1015
6	1019
6	1018
8	1003
10	1012
5	1018
4	1009
1	1010
3	1007
7	1004
5	1000
10	1007
8	1007
7	1003
5	1005
1	1012
5	1017
3	1011
3	1019
6	1009
1	1003
9	1000
7	1014
9	1003
1	1016
10	1018
4	1007
7	1011
3	1005
7	1010
7	1007
5	1004
1	1011
8	1010
9	1013
4	1001
4	1008
9	1014
4	1016
6	1006
4	1004
5	1009
1	1005
2	1010
2	1007
5	1015
6	1001
9	1004
6	1012
5	1019
2	1000
3	1002
4	1000
2	1003
8	1018
10	1002
5	1012
10	1009
3	1004
3	1014
2	1001
8	1004
5	1010
4	1011
1	1008
7	1008
4	1005
1	1018
6	1014
8	1000
10	1017
9	1018
4	1018
6	1004
1	1006
6	1017
6	1015
9	1017
3	1001
1	1001
8	1017
10	1000
4	1017
6	1010
3	1006
3	1013
4	1014
9	1001
6	1008
6	1003
1	1002
2	1018
10	1016
5	1013
3	1018
9	1007
3	1016
10	1008
3	1012
2	1006
2	1017
7	1006
6	1002
5	1003
7	1017
9	1005
9	1006
3	1003
2	1004
6	1005
1	1009
2	1016
8	1002
1	1014
9	1009
4	1002
6	1013
2	1015
7	1015
5	1006
2	1002
4	1006
5	1001
10	1014
7	1002
3	1010
10	1001
2	1014
1	1007
10	1013
5	1007
8	1008
1	1000
3	1000
10	1019
4	1019
4	1013
6	1011
10	1004
7	1019
7	1016
6	1007
8	1012
8	1013
1	1013
5	1016
3	1008
6	1016
10	1011
2	1008
4	1012
9	1016
7	1013
8	1005
7	1012
5	1014
2	1012
9	1008
10	1015
2	1011
10	1010
1	1017
6	1000
