BillingNo	Date	Customer	Amount
200901101161	2009-01-10 00:00:00	10160	102
200901101162	2009-01-10 00:00:00	10161	58
200901101163	2009-01-10 00:00:00	10162	90
200901101164	2009-01-10 00:00:00	10163	176
200901101165	2009-01-10 00:00:00	10164	125
200901101166	2009-01-10 00:00:00	10165	134
200901101167	2009-01-10 00:00:00	10166	46
200901101168	2009-01-10 00:00:00	10167	70
200901101169	2009-01-10 00:00:00	10168	117
200901101170	2009-01-10 00:00:00	10169	17
200901101171	2009-01-10 00:00:00	10170	120
200901101172	2009-01-10 00:00:00	10171	52
200901101173	2009-01-10 00:00:00	10172	82
200901101174	2009-01-10 00:00:00	10173	90
200901101175	2009-01-10 00:00:00	10174	185
200901101176	2009-01-10 00:00:00	10175	149
200901101177	2009-01-10 00:00:00	10176	66
200901101178	2009-01-10 00:00:00	10177	135
200901101179	2009-01-10 00:00:00	10178	164
200901101180	2009-01-10 00:00:00	10179	81
200901101181	2009-01-10 00:00:00	10180	26
200901101182	2009-01-10 00:00:00	10181	69
200901101183	2009-01-10 00:00:00	10182	98
200901101184	2009-01-10 00:00:00	10183	56
200901101185	2009-01-10 00:00:00	10184	15
200901101186	2009-01-10 00:00:00	10185	42
200901101187	2009-01-10 00:00:00	10186	39
200901101188	2009-01-10 00:00:00	10187	100
200901101189	2009-01-10 00:00:00	10188	72
200901101190	2009-01-10 00:00:00	10189	183
200901101191	2009-01-10 00:00:00	10190	37
200901101192	2009-01-10 00:00:00	10191	44
200901101193	2009-01-10 00:00:00	10192	195
200901101194	2009-01-10 00:00:00	10193	178
200901101195	2009-01-10 00:00:00	10194	74
200901101196	2009-01-10 00:00:00	10195	27
200901101197	2009-01-10 00:00:00	10196	193
200901101198	2009-01-10 00:00:00	10197	130
200901101199	2009-01-10 00:00:00	10198	61
200901101200	2009-01-10 00:00:00	10199	132
200901101201	2009-01-10 00:00:00	10200	33
200902101001	2009-02-10 00:00:00	10000	205
200902101002	2009-02-10 00:00:00	10001	101
200902101003	2009-02-10 00:00:00	10002	70
200902101004	2009-02-10 00:00:00	10003	190
200902101005	2009-02-10 00:00:00	10004	197
200902101006	2009-02-10 00:00:00	10005	118
200902101007	2009-02-10 00:00:00	10006	141
200902101008	2009-02-10 00:00:00	10007	186
200902101009	2009-02-10 00:00:00	10008	196
200902101010	2009-02-10 00:00:00	10009	102
200902101011	2009-02-10 00:00:00	10010	191
200902101012	2009-02-10 00:00:00	10011	75
200902101013	2009-02-10 00:00:00	10012	79
200902101014	2009-02-10 00:00:00	10013	14
200902101015	2009-02-10 00:00:00	10014	119
200902101016	2009-02-10 00:00:00	10015	147
200902101017	2009-02-10 00:00:00	10016	186
200902101018	2009-02-10 00:00:00	10017	147
200902101019	2009-02-10 00:00:00	10018	166
200902101020	2009-02-10 00:00:00	10019	166
200902101021	2009-02-10 00:00:00	10020	62
200902101022	2009-02-10 00:00:00	10021	52
200902101023	2009-02-10 00:00:00	10022	27
200902101024	2009-02-10 00:00:00	10023	59
200902101025	2009-02-10 00:00:00	10024	109
200902101026	2009-02-10 00:00:00	10025	125
200902101027	2009-02-10 00:00:00	10026	29
200902101028	2009-02-10 00:00:00	10027	35
200902101029	2009-02-10 00:00:00	10028	99
200902101030	2009-02-10 00:00:00	10029	135
200902101031	2009-02-10 00:00:00	10030	17
200902101032	2009-02-10 00:00:00	10031	10
200902101033	2009-02-10 00:00:00	10032	24
200902101034	2009-02-10 00:00:00	10033	206
200902101035	2009-02-10 00:00:00	10034	164
200902101036	2009-02-10 00:00:00	10035	131
200902101037	2009-02-10 00:00:00	10036	11
200902101038	2009-02-10 00:00:00	10037	33
200902101039	2009-02-10 00:00:00	10038	55
200902101040	2009-02-10 00:00:00	10039	141
200902101041	2009-02-10 00:00:00	10040	150
200902101042	2009-02-10 00:00:00	10041	18
200902101043	2009-02-10 00:00:00	10042	134
200902101044	2009-02-10 00:00:00	10043	121
200902101045	2009-02-10 00:00:00	10044	58
200902101046	2009-02-10 00:00:00	10045	89
200902101047	2009-02-10 00:00:00	10046	138
200902101048	2009-02-10 00:00:00	10047	146
200902101049	2009-02-10 00:00:00	10048	107
200902101050	2009-02-10 00:00:00	10049	194
200902101051	2009-02-10 00:00:00	10050	191
200902101052	2009-02-10 00:00:00	10051	54
200902101053	2009-02-10 00:00:00	10052	198
200902101054	2009-02-10 00:00:00	10053	169
200902101055	2009-02-10 00:00:00	10054	156
200902101056	2009-02-10 00:00:00	10055	191
200902101057	2009-02-10 00:00:00	10056	182
200902101058	2009-02-10 00:00:00	10057	170
200902101059	2009-02-10 00:00:00	10058	70
200902101060	2009-02-10 00:00:00	10059	108
200902101061	2009-02-10 00:00:00	10060	195
