Date	PlateNumber	IllegalMatter	Fines	Settled	SettledDate	LateFees
2009-01-19 18:50:00	QWW 978	Disobey the policeman	400	false		120
2009-01-19 18:55:00	GNQ 887	Drunk driving	2000	true	2009-02-20 09:10:00	60
2009-01-19 20:20:00	525 NIF	Impose on yellow line	100	false		30
2009-01-20 00:15:00	HEH 302	Drunk driving	2000	true	2009-02-26 12:20:00	420
2009-01-20 00:40:00	AGO 360	Illegal U-turn	400	true	2009-02-03 10:55:00	0
2009-01-20 03:05:00	ZNC 908	Red light	50	false		14
2009-01-20 04:00:00	MGJ 944	Disobey the policeman	400	false		108
2009-01-20 04:15:00	FCA 875	Drunk driving	2000	false		540
2009-01-20 06:25:00	CWI 550	Drunk driving	2000	false		540
2009-01-20 08:35:00	486 BQT	Drunk driving	2000	true	2009-01-29 09:30:00	0
2009-01-20 09:30:00	NXL 015	Speeding	600	true	2009-02-13 13:15:00	0
2009-01-20 09:35:00	XZJ 604	Parking	100	true	2009-01-26 12:20:00	0
2009-01-20 14:40:00	OWT 569	Speeding	600	true	2009-02-01 10:40:00	0
2009-01-20 15:15:00	256 SBH	Disobey the policeman	400	false		108
2009-01-20 16:10:00	RCV 927	Impose on yellow line	100	true	2009-01-30 17:20:00	0
2009-01-20 21:55:00	RLC 471	Illegal U-turn	400	false		108
2009-01-20 23:50:00	JWC 001	Drunk driving	2000	true	2009-02-13 14:30:00	0
2009-01-21 00:20:00	WBI 720	Drunk driving	2000	true	2009-01-21 10:40:00	0
2009-01-21 01:25:00	GVR 994	Retrograde	2000	true	2009-02-03 12:40:00	0
2009-01-21 02:10:00	FAR 516	Parking	100	false		24
2009-01-21 02:40:00	VEK 375	Speeding	600	true	2009-02-25 16:10:00	90
2009-01-21 03:35:00	WFR 286	Retrograde	2000	false		480
2009-01-21 03:55:00	EEP 873	Illegal U-turn	400	true	2009-02-15 17:10:00	0
2009-01-21 05:40:00	QLU 050	Retrograde	2000	true	2009-02-03 13:00:00	0
2009-01-21 06:55:00	GGD 736	Impose on yellow line	100	false		24
2009-01-21 08:55:00	BZU 562	Parking	100	false		24
2009-01-21 11:25:00	QCU 081	Retrograde	2000	true	2009-01-21 15:40:00	0
2009-01-21 11:30:00	085 JEX	Impose on yellow line	100	true	2009-02-01 09:10:00	0
2009-01-21 13:55:00	RQA 060	Drunk driving	2000	false		480
2009-01-21 17:05:00	FEQ 843	Illegal U-turn	400	true	2009-02-17 09:30:00	0
2009-01-21 17:30:00	MMH 532	Unlicensed	600	false		144
2009-01-21 18:25:00	XIT 760	Parking	100	true	2009-02-06 13:25:00	0
2009-01-21 22:10:00	WLX 220	Red light	50	true	2009-01-30 10:10:00	0
2009-01-21 23:45:00	LZR 885	Red light	50	true	2009-01-29 11:15:00	0
2009-01-22 02:00:00	NUC 313	Unlicensed	600	false		126
2009-01-22 02:35:00	LMK 464	Unlicensed	600	true	2009-02-21 09:45:00	0
2009-01-22 03:35:00	604 YQT	Red light	50	true	2009-02-18 10:50:00	0
2009-01-22 04:50:00	NGS 768	Retrograde	2000	true	2009-02-12 11:10:00	0
2009-01-22 06:30:00	YPC 137	Speeding	600	false		126
2009-01-22 09:25:00	ZCE 991	Unlicensed	600	true	2009-02-20 12:25:00	0
2009-01-22 11:40:00	510 KUR	Speeding	600	false		126
2009-01-22 12:25:00	OKW 583	Disobey the policeman	400	true	2009-02-08 14:10:00	0
2009-01-22 12:55:00	QWP 127	Unlicensed	600	true	2009-01-24 17:20:00	0
2009-01-22 14:20:00	KPE 275	Retrograde	2000	false		420
2009-01-22 17:00:00	QBE 698	Impose on yellow line	100	false		21
2009-01-22 20:40:00	SID 473	Disobey the policeman	400	true	2009-02-20 16:50:00	0
2009-01-22 20:55:00	FCY 876	Unlicensed	600	true	2009-02-19 17:05:00	0
2009-01-22 22:50:00	FTL 464	Illegal U-turn	400	false		84
2009-01-23 01:50:00	313 VWK	Impose on yellow line	100	false		18
2009-01-23 02:35:00	240 SMC	Unlicensed	600	true	2009-02-14 13:00:00	0
2009-01-23 03:35:00	AGQ 018	Disobey the policeman	400	true	2009-01-26 13:50:00	0
2009-01-23 06:10:00	JWE 125	Unlicensed	600	true	2009-02-06 15:25:00	0
2009-01-23 06:20:00	PIA 683	Illegal U-turn	400	true	2009-02-27 14:20:00	60
2009-01-01 04:00:00	LEL 427	Red light	50	true	2009-02-27 16:25:00	0
2009-01-01 05:35:00	OME 758	Disobey the policeman	400	true	2009-02-09 14:10:00	108
2009-01-01 06:20:00	PPT 076	Drunk driving	2000	false		1680
2009-01-01 06:35:00	RKE 230	Retrograde	2000	true	2009-01-02 15:00:00	0
2009-01-01 07:50:00	LTI 950	Impose on yellow line	100	true	2009-02-22 10:45:00	66
2009-01-01 10:50:00	IGX 183	Drunk driving	2000	false		1680
2009-01-01 16:15:00	KCP 315	Impose on yellow line	100	true	2009-01-30 15:15:00	0
2009-01-01 18:35:00	UKS 254	Retrograde	2000	false		1680
2009-01-01 19:35:00	CTJ 186	Impose on yellow line	100	true	2009-02-13 15:15:00	36
2009-01-01 20:00:00	LXJ 674	Illegal U-turn	400	true	2009-01-20 15:30:00	0
2009-01-01 20:20:00	KQW 934	Speeding	600	true	2009-01-25 09:55:00	0
2009-01-01 21:05:00	743 NEF	Speeding	600	true	2009-01-21 15:20:00	0
2009-01-01 21:15:00	468 YNT	Drunk driving	2000	true	2009-02-16 12:10:00	900
2009-01-02 00:25:00	VJZ 401	Unlicensed	600	true	2009-02-17 17:50:00	288
2009-01-02 02:05:00	774 RHS	Drunk driving	2000	true	2009-02-20 14:15:00	1140
2009-01-02 04:50:00	ZGO 629	Speeding	600	true	2009-01-25 12:20:00	0
2009-01-02 07:50:00	275 LNO	Retrograde	2000	true	2009-02-16 16:30:00	900
2009-01-02 09:00:00	RCD 661	Parking	100	true	2009-01-17 13:10:00	0
2009-01-02 09:25:00	ZXU 124	Drunk driving	2000	true	2009-01-17 15:55:00	0
2009-01-02 09:55:00	966 EXG	Speeding	600	false		486
2009-01-02 12:30:00	AMC 418	Retrograde	2000	true	2009-02-01 15:15:00	0
2009-01-02 14:00:00	UNU 798	Speeding	600	false		486
2009-01-02 15:30:00	801 YMQ	Drunk driving	2000	true	2009-02-11 09:45:00	540
2009-01-02 18:05:00	GGU 875	Parking	100	false		81
2009-01-02 19:15:00	CUK 172	Parking	100	false		81
2009-01-02 22:10:00	FSW 262	Red light	50	true	2009-01-21 14:45:00	0
2009-01-03 06:30:00	GGX 006	Retrograde	2000	true	2009-02-01 09:15:00	0
2009-01-03 10:00:00	377 KAZ	Drunk driving	2000	true	2009-02-05 13:20:00	180
2009-01-03 10:35:00	ZWG 828	Illegal U-turn	400	true	2009-01-30 13:00:00	0
2009-01-03 12:55:00	JRG 020	Impose on yellow line	100	true	2009-02-19 10:45:00	48
