Subscriber	Time	CalledNo	Length	isLocal	isOutgoing	isRoaming
10009	2010-01-08 23:17:15	--------	59	true	false	false
10004	2010-01-08 23:49:48	--------	60	true	false	false
10006	2010-01-09 00:13:03	--------	1458	false	false	false
10009	2010-01-09 00:22:21	--------	92	true	true	true
10009	2010-01-09 00:40:57	--------	51	true	true	false
10007	2010-01-09 01:32:06	--------	295	true	false	false
10006	2010-01-09 06:06:27	--------	81	false	true	false
10006	2010-01-09 07:48:45	--------	45	true	false	false
10007	2010-01-09 08:53:51	--------	56	true	false	true
10010	2010-01-09 10:59:24	--------	1309	true	false	false
10002	2010-01-09 11:18:00	--------	56	true	false	false
10010	2010-01-09 14:24:00	--------	293	false	true	false
10007	2010-01-09 14:42:36	--------	252	true	true	false
10010	2010-01-09 15:52:21	--------	161	true	false	false
10006	2010-01-09 16:06:18	--------	2304	true	true	false
10004	2010-01-09 16:34:12	--------	27	true	false	false
10009	2010-01-09 17:30:00	--------	272	true	false	false
10000	2010-01-09 18:11:51	--------	165	false	false	false
10001	2010-01-09 18:11:51	--------	114	true	false	false
10009	2010-01-09 18:49:03	--------	62	true	true	false
10005	2010-01-09 18:58:21	--------	127	true	true	false
10003	2010-01-09 19:12:18	--------	225	true	false	false
10006	2010-01-09 20:17:24	--------	206	true	false	false
10002	2010-01-09 20:49:57	--------	193	true	false	false
10007	2010-01-09 20:54:36	--------	125	true	false	false
10009	2010-01-09 21:31:48	--------	260	true	false	false
10007	2010-01-09 22:09:00	--------	2114	true	false	false
10002	2010-01-09 22:46:12	--------	246	true	false	false
10006	2010-01-10 02:38:42	--------	204	true	false	true
10000	2010-01-10 02:57:18	--------	219	true	true	false
10004	2010-01-10 02:57:18	--------	184	false	true	false
10001	2010-01-10 05:16:48	--------	186	true	true	false
10008	2010-01-10 05:40:03	--------	213	true	true	false
10001	2010-01-10 05:58:39	--------	186	false	false	false
10003	2010-01-10 07:54:54	--------	93	false	true	false
10002	2010-01-10 09:23:15	--------	3129	true	false	false
10005	2010-01-10 09:27:54	--------	73	true	true	false
10003	2010-01-10 09:37:12	--------	299	false	true	false
10010	2010-01-10 10:00:27	--------	55	true	false	true
10001	2010-01-10 12:10:39	--------	229	true	true	false
10002	2010-01-10 13:43:39	--------	77	true	false	false
10005	2010-01-10 16:26:24	--------	32	false	false	false
10006	2010-01-10 17:40:48	--------	306	true	false	false
10002	2010-01-10 18:27:18	--------	142	false	false	false
10008	2010-01-10 18:41:15	--------	233	true	true	false
10006	2010-01-10 19:04:30	--------	118	true	true	false
10010	2010-01-10 19:18:27	--------	243	true	true	true
10001	2010-01-11 01:02:33	--------	310	true	false	false
10006	2010-01-11 04:03:54	--------	288	true	true	false
10006	2010-01-11 05:55:30	--------	2911	false	true	false
10007	2010-01-11 06:51:18	--------	1239	true	false	false
10002	2010-01-11 08:42:54	--------	35	false	false	true
10004	2010-01-11 09:10:48	--------	317	false	true	true
10005	2010-01-11 12:26:06	--------	119	true	true	false
10007	2010-01-11 12:26:06	--------	165	true	false	false
10008	2010-01-11 14:27:00	--------	125	true	false	false
10008	2010-01-11 15:18:09	--------	260	true	false	false
10005	2010-01-11 15:46:03	--------	297	true	false	true
10008	2010-01-11 17:05:06	--------	199	true	false	false
10008	2010-01-11 18:52:03	--------	92	true	false	true
10001	2010-01-11 20:25:03	--------	244	true	true	false
10001	2010-01-11 21:39:27	--------	138	false	true	false
10005	2010-01-11 21:48:45	--------	186	true	false	true
10007	2010-01-12 00:03:36	--------	117	false	true	false
10005	2010-01-12 00:08:15	--------	203	true	false	false
10003	2010-01-12 01:18:00	--------	303	true	true	false
