Customer	Model	Date
001412	Golf	2001-01-02 00:00:00
003932	MAGOTAN	2001-01-02 00:00:00
004605	Touareg	2001-01-03 00:00:00
002510	Golf	2001-01-03 00:00:00
004878	Golf	2001-01-03 00:00:00
003280	Sagitar	2001-01-03 00:00:00
001837	Santana	2001-01-04 00:00:00
002155	Golf	2001-01-05 00:00:00
003000	Golf	2001-01-05 00:00:00
004223	Sagitar	2001-01-05 00:00:00
001356	Jetta	2001-01-05 00:00:00
002478	Sagitar	2001-01-06 00:00:00
003229	Polo	2001-01-06 00:00:00
005736	Santana	2001-01-06 00:00:00
002210	MAGOTAN	2001-01-06 00:00:00
000376	MAGOTAN	2001-01-07 00:00:00
002057	Santana	2001-01-07 00:00:00
005827	Polaris	2001-01-07 00:00:00
005440	Sagitar	2001-01-08 00:00:00
005993	Golf	2001-01-08 00:00:00
003098	Touareg	2001-01-08 00:00:00
005684	Golf	2001-01-09 00:00:00
004977	MAGOTAN	2001-01-10 00:00:00
003629	Jetta	2001-01-10 00:00:00
000433	Golf	2001-01-11 00:00:00
000798	Touareg	2001-01-11 00:00:00
005313	Golf	2001-01-11 00:00:00
003345	Santana	2001-01-12 00:00:00
004055	Polo	2001-01-12 00:00:00
004018	Touareg	2001-01-12 00:00:00
005513	Jetta	2001-01-12 00:00:00
005871	Touareg	2001-01-12 00:00:00
000086	Sagitar	2001-01-13 00:00:00
000590	Jetta	2001-01-13 00:00:00
002817	Polo	2001-01-13 00:00:00
002824	Polo	2001-01-14 00:00:00
001331	Polo	2001-01-14 00:00:00
004738	Sagitar	2001-01-15 00:00:00
001354	MAGOTAN	2001-01-15 00:00:00
004294	Polaris	2001-01-15 00:00:00
005824	Polaris	2001-01-16 00:00:00
005586	Sagitar	2001-01-16 00:00:00
000429	MAGOTAN	2001-01-16 00:00:00
005232	Jetta	2001-01-17 00:00:00
005016	Touareg	2001-01-17 00:00:00
005476	Sagitar	2001-01-17 00:00:00
005208	Sagitar	2001-01-17 00:00:00
002119	MAGOTAN	2001-01-17 00:00:00
003916	Santana	2001-01-18 00:00:00
003533	Golf	2001-01-18 00:00:00
000477	Jetta	2001-01-18 00:00:00
001461	Golf	2001-01-18 00:00:00
005965	Sagitar	2001-01-19 00:00:00
004379	Polo	2001-01-19 00:00:00
002868	Jetta	2001-01-20 00:00:00
002095	Jetta	2001-01-20 00:00:00
005837	MAGOTAN	2001-01-21 00:00:00
005209	Jetta	2001-01-21 00:00:00
000279	Touareg	2001-01-22 00:00:00
000864	Santana	2001-01-22 00:00:00
000821	Jetta	2001-01-22 00:00:00
003038	Polaris	2001-01-22 00:00:00
001842	Touareg	2001-01-23 00:00:00
000559	Jetta	2001-01-23 00:00:00
000799	Polo	2001-01-23 00:00:00
003639	Touareg	2001-01-23 00:00:00
005804	Jetta	2001-01-23 00:00:00
004336	Santana	2001-01-24 00:00:00
003848	MAGOTAN	2001-01-24 00:00:00
000425	Touareg	2001-01-24 00:00:00
003287	Golf	2001-01-24 00:00:00
004336	Touareg	2001-01-25 00:00:00
005872	Polo	2001-01-25 00:00:00
001500	Santana	2001-01-25 00:00:00
000251	Polaris	2001-01-26 00:00:00
000500	MAGOTAN	2001-01-26 00:00:00
004857	Santana	2001-01-27 00:00:00
000111	Touareg	2001-01-27 00:00:00
000889	Jetta	2001-01-27 00:00:00
001280	MAGOTAN	2001-01-27 00:00:00
004422	Polo	2001-01-28 00:00:00
003281	Touareg	2001-01-28 00:00:00
001146	Sagitar	2001-01-28 00:00:00
003219	Sagitar	2001-01-29 00:00:00
003917	Golf	2001-01-29 00:00:00
005354	Jetta	2001-01-30 00:00:00
001512	Touareg	2001-01-30 00:00:00
004323	Touareg	2001-01-30 00:00:00
001090	Polaris	2001-01-31 00:00:00
002877	Polo	2001-01-31 00:00:00
003975	Golf	2001-01-31 00:00:00
003196	MAGOTAN	2001-02-01 00:00:00
004425	Santana	2001-02-01 00:00:00
005180	Polo	2001-02-02 00:00:00
002515	Polo	2001-02-02 00:00:00
002557	Santana	2001-02-03 00:00:00
000103	Jetta	2001-02-04 00:00:00
003467	MAGOTAN	2001-02-05 00:00:00
002264	Santana	2001-02-05 00:00:00
003494	Santana	2001-02-05 00:00:00
002872	Santana	2001-02-05 00:00:00
005527	MAGOTAN	2001-02-05 00:00:00
004397	Polo	2001-02-06 00:00:00
000327	Sagitar	2001-02-06 00:00:00
000398	Polo	2001-02-06 00:00:00
004820	Jetta	2001-02-06 00:00:00
000997	Jetta	2001-02-06 00:00:00
000022	Touareg	2001-02-07 00:00:00
002305	Polo	2001-02-07 00:00:00
002942	Jetta	2001-02-07 00:00:00
003432	Polaris	2001-02-07 00:00:00
002742	Polaris	2001-02-07 00:00:00
005451	Polaris	2001-02-08 00:00:00
003522	Jetta	2001-02-08 00:00:00
003992	Polaris	2001-02-08 00:00:00
001216	Golf	2001-02-09 00:00:00
003272	Touareg	2001-02-09 00:00:00
005068	Golf	2001-02-09 00:00:00
003271	Polo	2001-02-10 00:00:00
003602	Jetta	2001-02-10 00:00:00
003344	MAGOTAN	2001-02-10 00:00:00
000171	Touareg	2001-02-10 00:00:00
000331	Touareg	2001-02-10 00:00:00
005372	Polaris	2001-02-11 00:00:00
001933	MAGOTAN	2001-02-11 00:00:00
003391	Polaris	2001-02-11 00:00:00
004913	Sagitar	2001-02-11 00:00:00
000105	Polo	2001-02-11 00:00:00
004239	Sagitar	2001-02-12 00:00:00
002067	MAGOTAN	2001-02-12 00:00:00
000175	Touareg	2001-02-12 00:00:00
000811	Polo	2001-02-12 00:00:00
002940	Jetta	2001-02-12 00:00:00
000990	Polo	2001-02-13 00:00:00
001702	Polo	2001-02-13 00:00:00
002607	Santana	2001-02-14 00:00:00
002173	Jetta	2001-02-14 00:00:00
005775	Sagitar	2001-02-14 00:00:00
002460	Golf	2001-02-15 00:00:00
005457	Polo	2001-02-15 00:00:00
002617	Jetta	2001-02-16 00:00:00
000806	Jetta	2001-02-16 00:00:00
000298	Polo	2001-02-17 00:00:00
002298	Santana	2001-02-17 00:00:00
000564	Santana	2001-02-17 00:00:00
002218	Jetta	2001-02-17 00:00:00
001731	Santana	2001-02-18 00:00:00
005839	Jetta	2001-02-18 00:00:00
003393	Santana	2001-02-18 00:00:00
001535	Golf	2001-02-18 00:00:00
003975	Golf	2001-02-18 00:00:00
003078	Jetta	2001-02-19 00:00:00
002676	Golf	2001-02-19 00:00:00
004321	Santana	2001-02-19 00:00:00
003280	Touareg	2001-02-19 00:00:00
000824	Jetta	2001-02-20 00:00:00
003634	Polaris	2001-02-20 00:00:00
001196	Santana	2001-02-20 00:00:00
002248	Jetta	2001-02-20 00:00:00
004879	Polo	2001-02-21 00:00:00
000643	MAGOTAN	2001-02-21 00:00:00
001317	Sagitar	2001-02-21 00:00:00
003347	MAGOTAN	2001-02-22 00:00:00
003773	Santana	2001-02-22 00:00:00
001497	Santana	2001-02-23 00:00:00
004864	Jetta	2001-02-23 00:00:00
000562	Santana	2001-02-23 00:00:00
003946	Sagitar	2001-02-23 00:00:00
004783	MAGOTAN	2001-02-24 00:00:00
002617	Santana	2001-02-25 00:00:00
002538	Jetta	2001-02-25 00:00:00
000974	Touareg	2001-02-25 00:00:00
003189	Polaris	2001-02-25 00:00:00
004083	Polaris	2001-02-26 00:00:00
005270	Polaris	2001-02-26 00:00:00
