ID	Year	ServiceMonths
1001	1980	0
1001	1981	11
1001	1982	2
1001	1983	3
1001	1984	3
1001	1985	4
1001	1986	8
1001	1987	9
1001	1988	8
1001	1989	3
1001	1990	5
1001	1991	3
1001	1992	11
1001	1993	10
1001	1994	0
1001	1995	5
1001	1996	1
1001	1997	11
1001	1998	9
1001	1999	7
1001	2000	2
1001	2001	1
1001	2002	1
1001	2003	10
1001	2004	6
1001	2005	11
1001	2006	0
1001	2007	7
1001	2008	10
1001	2009	6
1001	2010	3
1002	1973	1
1002	1974	3
1002	1975	1
1002	1976	10
1002	1977	8
1002	1978	0
1002	1979	9
1002	1980	7
1002	1981	11
1002	1982	11
1002	1983	3
1002	1984	4
1002	1985	7
1002	1986	3
1002	1987	2
1002	1988	3
1002	1989	9
1002	1990	11
1002	1991	3
1002	1992	1
1002	1993	11
1002	1994	7
1002	1995	5
1002	1996	2
1002	1997	8
1002	1998	3
1002	1999	8
1002	2000	10
1002	2001	4
1002	2002	7
1002	2003	7
1002	2004	11
1002	2005	10
1002	2006	0
1002	2007	2
1002	2008	7
1002	2009	9
1002	2010	8
1003	1978	3
1003	1979	2
1003	1980	2
1003	1981	10
1003	1982	2
1003	1983	6
1003	1984	8
1003	1985	0
1003	1986	10
1003	1987	1
1003	1988	8
1003	1989	5
1003	1990	8
1003	1991	1
1003	1992	0
1003	1993	3
1003	1994	4
1003	1995	3
1003	1996	2
1003	1997	8
1003	1998	5
1003	1999	8
1003	2000	1
1003	2001	6
1003	2002	2
1003	2003	10
1003	2004	4
1003	2005	0
1003	2006	7
1003	2007	5
1003	2008	10
1003	2009	4
1003	2010	0
1004	1978	8
1004	1979	4
1004	1980	5
1004	1981	4
1004	1982	5
1004	1983	7
1004	1984	8
1004	1985	6
1004	1986	6
1004	1987	9
1004	1988	6
1004	1989	2
1004	1990	8
1004	1991	8
1004	1992	4
1004	1993	3
1004	1994	5
1004	1995	0
1004	1996	5
1004	1997	5
1004	1998	8
1004	1999	3
1004	2000	3
1004	2001	0
1004	2002	6
1004	2003	11
1004	2004	9
1004	2005	6
1004	2006	1
1004	2007	1
1004	2008	4
1004	2009	1
1004	2010	1
1005	1976	2
1005	1977	4
1005	1978	7
1005	1979	6
1005	1980	1
1005	1981	1
1005	1982	5
1005	1983	11
1005	1984	7
1005	1985	8
1005	1986	9
1005	1987	4
1005	1988	7
1005	1989	6
1005	1990	9
1005	1991	10
1005	1992	5
1005	1993	9
1005	1994	0
1005	1995	6
1005	1996	5
1005	1997	6
1005	1998	7
1005	1999	8
1005	2000	10
1005	2001	5
1005	2002	5
1005	2003	4
1005	2004	5
1005	2005	7
1005	2006	8
1005	2007	4
1005	2008	9
1005	2009	0
1005	2010	6
1006	1975	5
1006	1976	5
1006	1977	9
1006	1978	5
1006	1979	6
1006	1980	3
1006	1981	2
1006	1982	11
1006	1983	9
1006	1984	7
1006	1985	0
1006	1986	11
1006	1987	3
1006	1988	0
1006	1989	7
1006	1990	6
1006	1991	4
1006	1992	9
1006	1993	11
1006	1994	6
1006	1995	0
1006	1996	4
1006	1997	9
1006	1998	9
1006	1999	7
1006	2000	6
1006	2001	6
1006	2002	9
1006	2003	0
1006	2004	7
1006	2005	5
1006	2006	5
1006	2007	9
1006	2008	7
1006	2009	7
1006	2010	11
1007	1975	11
1007	1976	9
1007	1977	11
1007	1978	5
1007	1979	11
1007	1980	2
1007	1981	7
1007	1982	9
1007	1983	7
1007	1984	2
1007	1985	7
1007	1986	1
1007	1987	1
1007	1988	8
1007	1989	4
1007	1990	2
1007	1991	5
1007	1992	6
1007	1993	4
1007	1994	11
1007	1995	2
1007	1996	7
1007	1997	4
1007	1998	7
1007	1999	9
1007	2000	7
1007	2001	5
1007	2002	3
1007	2003	5
1007	2004	2
1007	2005	4
1007	2006	4
1007	2007	6
1007	2008	6
1007	2009	7
1007	2010	6
1008	1974	3
1008	1975	4
1008	1976	8
1008	1977	11
1008	1978	4
1008	1979	10
1008	1980	3
1008	1981	11
1008	1982	3
1008	1983	2
1008	1984	9
1008	1985	11
1008	1986	0
1008	1987	6
1008	1988	6
1008	1989	8
1008	1990	5
1008	1991	3
1008	1992	8
1008	1993	4
1008	1994	0
1008	1995	11
1008	1996	5
1008	1997	0
1008	1998	3
1008	1999	7
1008	2000	1
1008	2001	4
1008	2002	2
1008	2003	0
1008	2004	6
1008	2005	8
1008	2006	9
1008	2007	10
1008	2008	3
1008	2009	0
1008	2010	3
1009	1975	10
1009	1976	8
1009	1977	4
1009	1978	1
1009	1979	5
1009	1980	3
1009	1981	0
1009	1982	0
1009	1983	7
1009	1984	2
1009	1985	11
1009	1986	6
1009	1987	4
1009	1988	0
1009	1989	5
1009	1990	3
1009	1991	3
1009	1992	11
1009	1993	0
1009	1994	6
1009	1995	9
1009	1996	1
1009	1997	8
1009	1998	9
1009	1999	5
1009	2000	0
1009	2001	0
1009	2002	6
1009	2003	8
1009	2004	2
1009	2005	7
1009	2006	8
1009	2007	2
1009	2008	10
1009	2009	6
1009	2010	4
1010	1971	8
1010	1972	1
1010	1973	11
1010	1974	9
1010	1975	1
1010	1976	3
1010	1977	7
1010	1978	7
1010	1979	0
1010	1980	4
1010	1981	1
1010	1982	11
1010	1983	7
1010	1984	0
1010	1985	10
1010	1986	7
1010	1987	8
1010	1988	7
1010	1989	8
1010	1990	8
1010	1991	9
1010	1992	2
1010	1993	11
1010	1994	7
1010	1995	0
1010	1996	9
1010	1997	11
1010	1998	4
1010	1999	1
1010	2000	7
1010	2001	0
1010	2002	9
1010	2003	0
1010	2004	9
1010	2005	10
1010	2006	0
1010	2007	3
1010	2008	7
1010	2009	1
1010	2010	0
1011	1973	1
1011	1974	5
1011	1975	3
1011	1976	4
1011	1977	8
1011	1978	7
1011	1979	9
1011	1980	1
1011	1981	11
1011	1982	3
1011	1983	9
1011	1984	2
1011	1985	10
1011	1986	9
1011	1987	4
1011	1988	1
1011	1989	4
1011	1990	3
1011	1991	4
1011	1992	7
1011	1993	2
1011	1994	8
1011	1995	3
1011	1996	10
1011	1997	7
1011	1998	0
1011	1999	4
1011	2000	9
1011	2001	9
1011	2002	9
1011	2003	9
1011	2004	10
1011	2005	8
1011	2006	0
1011	2007	8
1011	2008	0
1011	2009	6
1011	2010	8
1012	1976	11
1012	1977	0
1012	1978	0
1012	1979	0
1012	1980	7
1012	1981	1
1012	1982	6
1012	1983	8
1012	1984	9
1012	1985	0
1012	1986	11
1012	1987	7
1012	1988	2
1012	1989	4
1012	1990	3
1012	1991	7
1012	1992	1
1012	1993	8
1012	1994	0
1012	1995	9
1012	1996	10
1012	1997	4
1012	1998	1
1012	1999	2
1012	2000	7
1012	2001	4
1012	2002	4
1012	2003	3
1012	2004	5
1012	2005	6
1012	2006	10
1012	2007	0
1012	2008	5
1012	2009	8
1012	2010	3
1013	1971	11
1013	1972	6
1013	1973	5
1013	1974	5
1013	1975	7
1013	1976	3
1013	1977	10
1013	1978	9
1013	1979	6
1013	1980	7
1013	1981	11
1013	1982	5
1013	1983	11
1013	1984	3
1013	1985	6
1013	1986	5
1013	1987	6
1013	1988	1
1013	1989	3
1013	1990	4
1013	1991	4
1013	1992	7
1013	1993	1
1013	1994	1
1013	1995	6
1013	1996	9
1013	1997	4
1013	1998	8
1013	1999	5
1013	2000	4
1013	2001	8
1013	2002	10
1013	2003	7
1013	2004	11
1013	2005	9
1013	2006	5
1013	2007	3
1013	2008	5
1013	2009	7
1013	2010	10
1014	1975	7
1014	1976	1
1014	1977	6
1014	1978	1
1014	1979	1
1014	1980	0
1014	1981	2
1014	1982	9
1014	1983	11
1014	1984	11
1014	1985	7
1014	1986	5
1014	1987	8
1014	1988	4
1014	1989	5
1014	1990	10
1014	1991	7
1014	1992	6
1014	1993	5
1014	1994	2
1014	1995	7
1014	1996	9
1014	1997	0
1014	1998	0
1014	1999	10
1014	2000	11
1014	2001	8
1014	2002	11
1014	2003	4
1014	2004	7
1014	2005	11
1014	2006	7
1014	2007	3
1014	2008	9
1014	2009	9
1014	2010	3
1015	1973	9
1015	1974	6
1015	1975	6
1015	1976	8
1015	1977	10
1015	1978	4
1015	1979	9
1015	1980	11
1015	1981	8
1015	1982	8
1015	1983	0
1015	1984	7
1015	1985	5
1015	1986	5
1015	1987	7
1015	1988	6
1015	1989	3
1015	1990	8
1015	1991	2
1015	1992	10
1015	1993	10
1015	1994	11
1015	1995	9
1015	1996	11
1015	1997	5
1015	1998	6
1015	1999	4
1015	2000	9
1015	2001	11
1015	2002	3
1015	2003	1
1015	2004	0
1015	2005	2
1015	2006	7
1015	2007	4
1015	2008	4
1015	2009	11
1015	2010	7
1016	1978	6
1016	1979	3
1016	1980	8
1016	1981	0
1016	1982	11
1016	1983	4
1016	1984	11
1016	1985	0
1016	1986	11
1016	1987	1
1016	1988	1
1016	1989	2
1016	1990	0
1016	1991	6
1016	1992	5
1016	1993	10
1016	1994	5
1016	1995	10
1016	1996	5
1016	1997	10
1016	1998	11
1016	1999	4
1016	2000	10
1016	2001	1
1016	2002	6
1016	2003	2
1016	2004	1
1016	2005	0
1016	2006	6
1016	2007	10
1016	2008	0
1016	2009	2
1016	2010	4
1017	1971	7
1017	1972	3
1017	1973	11
1017	1974	0
1017	1975	6
1017	1976	9
1017	1977	10
1017	1978	10
1017	1979	7
1017	1980	2
1017	1981	6
1017	1982	11
1017	1983	1
1017	1984	6
1017	1985	2
1017	1986	1
1017	1987	9
1017	1988	11
1017	1989	11
1017	1990	5
1017	1991	11
1017	1992	2
1017	1993	1
1017	1994	0
1017	1995	9
1017	1996	1
1017	1997	4
1017	1998	7
1017	1999	0
1017	2000	5
1017	2001	10
1017	2002	11
1017	2003	1
1017	2004	0
1017	2005	9
1017	2006	9
1017	2007	3
1017	2008	9
1017	2009	3
1017	2010	11
1018	1980	9
1018	1981	3
1018	1982	0
1018	1983	8
1018	1984	9
1018	1985	10
1018	1986	9
1018	1987	3
1018	1988	6
1018	1989	0
1018	1990	9
1018	1991	6
1018	1992	6
1018	1993	3
1018	1994	11
1018	1995	2
1018	1996	7
1018	1997	11
1018	1998	0
1018	1999	5
1018	2000	7
1018	2001	0
1018	2002	10
1018	2003	8
1018	2004	8
1018	2005	8
1018	2006	2
1018	2007	8
1018	2008	5
1018	2009	5
1018	2010	7
1019	1978	0
1019	1979	9
1019	1980	7
1019	1981	1
1019	1982	11
1019	1983	9
1019	1984	5
1019	1985	6
1019	1986	4
1019	1987	3
1019	1988	8
1019	1989	1
1019	1990	8
1019	1991	4
1019	1992	2
1019	1993	0
1019	1994	4
1019	1995	8
1019	1996	7
1019	1997	4
1019	1998	10
1019	1999	0
1019	2000	1
1019	2001	6
1019	2002	5
1019	2003	2
1019	2004	2
1019	2005	6
1019	2006	10
1019	2007	8
1019	2008	9
1019	2009	1
1019	2010	5
1020	1972	10
1020	1973	4
1020	1974	3
1020	1975	5
1020	1976	7
1020	1977	11
1020	1978	4
1020	1979	0
1020	1980	2
1020	1981	2
1020	1982	8
1020	1983	11
1020	1984	5
1020	1985	5
1020	1986	7
1020	1987	10
1020	1988	0
1020	1989	1
1020	1990	7
1020	1991	10
1020	1992	8
1020	1993	8
1020	1994	9
1020	1995	9
1020	1996	5
1020	1997	7
1020	1998	7
1020	1999	6
1020	2000	2
1020	2001	5
1020	2002	3
1020	2003	8
1020	2004	0
1020	2005	11
1020	2006	6
1020	2007	11
1020	2008	7
1020	2009	8
1020	2010	4
