S/N	ContractNo	Date	Repayment
12625	100425	2002-04-28 00:00:00	12125
12626	100425	2002-05-28 00:00:00	12125
12627	100425	2002-06-28 00:00:00	12125
12628	100430	2002-06-28 00:00:00	21625
12629	100425	2002-07-28 00:00:00	12125
12630	100430	2002-07-28 00:00:00	21625
12631	100425	2002-08-28 00:00:00	12125
12632	100430	2002-08-28 00:00:00	21625
12633	100425	2002-09-28 00:00:00	12125
12634	100430	2002-09-28 00:00:00	21625
12635	100430	2002-10-28 00:00:00	21625
12636	100425	2002-10-28 00:00:00	12125
12637	100430	2002-11-28 00:00:00	21625
12638	100425	2002-11-28 00:00:00	12125
12639	100430	2002-12-28 00:00:00	21625
12640	100425	2002-12-28 00:00:00	12125
12641	100430	2003-01-28 00:00:00	21625
12642	100425	2003-01-28 00:00:00	12125
12643	100425	2003-02-28 00:00:00	12125
12644	100430	2003-02-28 00:00:00	21625
12645	100425	2003-03-28 00:00:00	12125
12646	100430	2003-03-28 00:00:00	21625
12647	100421	2003-04-28 00:00:00	5500
12648	100430	2003-04-28 00:00:00	21625
12649	100425	2003-04-28 00:00:00	12125
12650	100430	2003-05-28 00:00:00	21625
12651	100425	2003-05-28 00:00:00	12125
12652	100421	2003-05-28 00:00:00	5500
12653	100421	2003-06-28 00:00:00	5500
12654	100425	2003-06-28 00:00:00	12125
12655	100430	2003-06-28 00:00:00	21625
12656	100425	2003-07-28 00:00:00	12125
12657	100430	2003-07-28 00:00:00	21625
12658	100421	2003-07-28 00:00:00	5500
12659	100425	2003-08-28 00:00:00	12125
12660	100430	2003-08-28 00:00:00	21625
12661	100421	2003-08-28 00:00:00	5500
12662	100430	2003-09-28 00:00:00	21625
12663	100425	2003-09-28 00:00:00	12125
12664	100422	2003-09-28 00:00:00	2875
12665	100421	2003-09-28 00:00:00	5500
12666	100421	2003-10-28 00:00:00	5500
12667	100430	2003-10-28 00:00:00	21625
12668	100422	2003-10-28 00:00:00	2875
12669	100425	2003-10-28 00:00:00	12125
12670	100421	2003-11-28 00:00:00	5500
12671	100425	2003-11-28 00:00:00	12125
12672	100430	2003-11-28 00:00:00	21625
12673	100422	2003-11-28 00:00:00	2875
12674	100422	2003-12-28 00:00:00	2875
12675	100430	2003-12-28 00:00:00	21625
12676	100425	2003-12-28 00:00:00	12125
12677	100421	2003-12-28 00:00:00	5500
12678	100421	2004-01-28 00:00:00	5500
12679	100425	2004-01-28 00:00:00	12125
12680	100430	2004-01-28 00:00:00	21625
12681	100422	2004-01-28 00:00:00	2875
12682	100421	2004-02-28 00:00:00	5500
12683	100425	2004-02-28 00:00:00	12125
12684	100430	2004-02-28 00:00:00	21625
12685	100422	2004-02-28 00:00:00	2875
12686	100430	2004-03-28 00:00:00	21625
12687	100425	2004-03-28 00:00:00	12125
12688	100422	2004-03-28 00:00:00	2875
12689	100421	2004-03-28 00:00:00	5500
12690	100421	2004-04-28 00:00:00	5500
12691	100422	2004-04-28 00:00:00	2875
12692	100425	2004-04-28 00:00:00	12125
12693	100430	2004-04-28 00:00:00	21625
12694	100430	2004-05-28 00:00:00	21625
12695	100421	2004-05-28 00:00:00	5500
12696	100425	2004-05-28 00:00:00	12125
12697	100422	2004-05-28 00:00:00	2875
12698	100421	2004-06-28 00:00:00	5500
12699	100422	2004-06-28 00:00:00	2875
12700	100430	2004-06-28 00:00:00	21625
12701	100425	2004-06-28 00:00:00	12125
12702	100430	2004-07-28 00:00:00	21625
12703	100422	2004-07-28 00:00:00	2875
